"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 22, 2020","66.70","66.45","67.45","65.53","9.93M","0.86%"
"Jul 21, 2020","66.13","68.15","69.75","65.48","14.61M","-1.88%"
"Jul 20, 2020","67.40","64.30","67.40","63.86","14.36M","5.49%"
"Jul 17, 2020","63.89","62.15","64.05","61.72","12.65M","3.89%"
"Jul 16, 2020","61.50","61.75","62.15","60.62","14.36M","-0.63%"
"Jul 15, 2020","61.89","62.10","62.29","61.27","10.54M","1.23%"
"Jul 14, 2020","61.14","60.01","61.95","59.68","10.35M","2.09%"
"Jul 13, 2020","59.89","60.35","61.56","59.60","9.79M","-0.10%"
"Jul 10, 2020","59.95","58.80","59.98","57.60","7.99M","1.80%"
"Jul 09, 2020","58.89","60.97","60.97","58.44","13.44M","-2.90%"
"Jul 08, 2020","60.65","57.61","60.89","57.23","13.81M","6.09%"
"Jul 07, 2020","57.17","56.55","57.60","56.25","9.02M","1.15%"
"Jul 06, 2020","56.52","57.50","58.00","56.52","6.45M","0.04%"
"Jul 03, 2020","56.50","56.39","56.52","55.83","2.66M","0.53%"
"Jul 02, 2020","56.20","57.04","57.20","55.70","7.03M","0.30%"
"Jul 01, 2020","56.03","55.46","56.92","55.16","10.83M","1.71%"
"Jun 30, 2020","55.09","54.55","55.98","54.26","13.10M","0.24%"
"Jun 29, 2020","54.96","53.82","54.96","53.43","8.75M","2.83%"
"Jun 26, 2020","53.45","54.64","55.19","52.90","9.38M","-2.82%"
"Jun 25, 2020","55.00","52.80","55.07","52.64","10.69M","4.46%"
"Jun 24, 2020","52.65","52.31","53.64","51.71","12.06M","0.71%"
"Jun 23, 2020","52.28","50.83","52.64","50.65","13.48M","3.87%"
"Jun 22, 2020","50.33","51.15","51.48","49.80","7.44M","-1.31%"
"Jun 19, 2020","51.00","51.04","51.18","50.14","13.98M","1.27%"
"Jun 18, 2020","50.36","50.57","51.30","50.22","8.62M","-1.64%"
"Jun 17, 2020","51.20","49.99","51.49","49.70","17.44M","3.43%"
"Jun 16, 2020","49.50","50.60","50.88","48.70","9.25M","-0.02%"
"Jun 15, 2020","49.51","49.00","49.95","48.40","11.58M","-0.68%"
"Jun 12, 2020","49.85","49.28","50.99","48.80","17.33M","-1.75%"
"Jun 10, 2020","50.74","51.60","51.70","50.34","12.79M","-0.65%"
"Jun 09, 2020","51.07","51.05","51.67","50.80","11.26M","-1.26%"
"Jun 08, 2020","51.72","49.35","51.82","49.35","9.99M","5.40%"
"Jun 05, 2020","49.07","50.80","51.97","48.81","15.66M","-1.03%"
"Jun 04, 2020","49.58","48.31","49.84","47.91","13.10M","1.56%"
"Jun 03, 2020","48.82","47.08","48.88","47.08","17.71M","5.08%"
"Jun 02, 2020","46.46","46.00","46.68","45.57","13.73M","2.04%"
"Jun 01, 2020","45.53","44.83","46.49","44.83","7.47M","-0.04%"
"May 29, 2020","45.55","46.00","46.40","44.62","29.82M","-0.87%"
"May 28, 2020","45.95","46.01","47.22","45.75","10.64M","-1.37%"
"May 27, 2020","46.59","47.39","47.50","45.97","11.02M","0.19%"
"May 26, 2020","46.50","46.50","47.98","45.90","13.99M","0.00%"
"May 25, 2020","46.50","45.15","46.84","45.01","9.84M","5.97%"
"May 22, 2020","43.88","43.34","44.07","42.72","9.19M","0.60%"
"May 21, 2020","43.62","41.08","43.62","40.81","15.98M","7.33%"
"May 20, 2020","40.64","40.97","41.77","40.08","10.58M","-0.20%"
"May 19, 2020","40.72","41.30","42.56","40.72","15.07M","-3.02%"
"May 18, 2020","41.99","40.76","42.49","40.44","19.35M","6.20%"
"May 15, 2020","39.54","39.00","40.47","38.47","25.97M","4.55%"
"May 14, 2020","37.82","35.64","37.82","35.37","16.63M","4.59%"
"May 13, 2020","36.16","36.45","37.56","36.06","15.95M","1.20%"
"May 12, 2020","35.73","36.98","37.37","35.58","14.94M","-2.91%"
"May 11, 2020","36.80","37.60","37.65","36.44","13.08M","-2.54%"
"May 08, 2020","37.76","37.83","38.03","37.09","11.43M","2.47%"
"May 07, 2020","36.85","38.82","39.00","36.85","15.63M","-4.14%"
"May 06, 2020","38.44","38.69","39.19","37.55","8.11M","-0.77%"
"May 05, 2020","38.74","38.55","39.96","38.54","6.91M","0.94%"
"May 04, 2020","38.38","37.87","38.80","37.70","9.88M","-0.10%"
"Apr 30, 2020","38.42","39.29","39.65","38.03","14.39M","-3.71%"
"Apr 29, 2020","39.90","40.66","40.69","38.84","16.07M","0.25%"
"Apr 28, 2020","39.80","40.76","42.41","39.70","17.46M","1.45%"
"Apr 27, 2020","39.23","38.00","39.58","37.86","19.17M","6.03%"
"Apr 24, 2020","37.00","40.42","40.59","35.36","33.93M","-10.30%"
"Apr 23, 2020","41.25","42.45","43.24","40.61","13.95M","-1.81%"
"Apr 22, 2020","42.01","40.93","43.26","40.80","16.10M","3.50%"
"Apr 20, 2020","40.59","38.18","41.19","38.18","13.34M","2.68%"
"Apr 17, 2020","39.53","40.00","40.36","39.25","10.01M","0.56%"
"Apr 16, 2020","39.31","40.09","41.49","39.13","16.60M","-1.53%"
"Apr 15, 2020","39.92","38.11","40.30","38.11","15.35M","0.91%"
"Apr 14, 2020","39.56","39.99","41.23","39.44","11.81M","0.56%"
"Apr 13, 2020","39.34","38.54","39.77","37.74","7.81M","0.85%"
"Apr 09, 2020","39.01","39.50","39.86","38.05","15.19M","-0.76%"
"Apr 08, 2020","39.31","38.30","40.04","37.88","8.12M","2.10%"
"Apr 07, 2020","38.50","40.42","41.20","38.09","24.15M","3.47%"
"Apr 06, 2020","37.21","38.67","39.81","36.66","13.50M","3.79%"
"Apr 03, 2020","35.85","36.41","36.58","35.13","19.07M","-2.58%"
"Apr 02, 2020","36.80","34.63","36.97","34.40","15.04M","6.20%"
"Apr 01, 2020","34.65","34.51","34.92","33.16","13.30M","-3.48%"
"Mar 31, 2020","35.90","35.89","37.16","35.03","17.80M","-2.97%"
"Mar 30, 2020","37.00","36.75","38.06","36.30","16.56M","0.24%"
"Mar 27, 2020","36.91","36.66","37.97","36.20","18.55M","-4.48%"
"Mar 26, 2020","38.64","38.90","39.52","36.36","24.76M","-0.39%"
"Mar 25, 2020","38.79","35.80","39.80","35.80","21.21M","6.83%"
"Mar 24, 2020","36.31","33.43","36.94","33.35","26.48M","19.24%"
"Mar 23, 2020","30.45","33.07","33.17","29.70","16.57M","-6.13%"
"Mar 20, 2020","32.44","33.95","35.90","31.23","33.15M","-0.22%"
"Mar 19, 2020","32.51","31.50","32.90","29.26","52.28M","-0.88%"
"Mar 18, 2020","32.80","32.50","33.73","30.11","40.53M","-7.71%"
"Mar 17, 2020","35.54","34.81","36.62","33.62","29.85M","3.65%"
"Mar 16, 2020","34.29","34.04","37.95","33.65","26.23M","-16.12%"
"Mar 13, 2020","40.88","42.88","43.40","37.17","44.42M","10.82%"
"Mar 12, 2020","36.89","36.00","37.00","32.00","33.91M","-13.30%"
"Mar 11, 2020","42.55","43.51","44.44","39.01","27.28M","-7.50%"
"Mar 10, 2020","46.00","43.40","46.16","41.25","26.64M","12.47%"
"Mar 09, 2020","40.90","43.08","44.60","40.68","31.44M","-12.01%"
"Mar 06, 2020","46.48","45.50","46.90","43.66","22.03M","-1.34%"
"Mar 05, 2020","47.11","49.20","49.40","45.95","11.40M","-5.38%"
"Mar 04, 2020","49.79","50.39","50.39","48.57","17.22M","0.36%"
"Mar 03, 2020","49.61","49.02","50.60","48.36","17.10M","-0.78%"
"Mar 02, 2020","50.00","47.70","50.04","47.24","15.71M","4.17%"
"Feb 28, 2020","48.00","45.27","48.00","44.76","30.07M","4.26%"
"Feb 27, 2020","46.04","46.80","48.59","46.04","17.86M","-3.98%"
"Feb 26, 2020","47.95","49.50","50.18","47.44","13.90M","-7.88%"
"Feb 21, 2020","52.05","51.33","52.05","51.22","8.02M","-0.50%"
"Feb 20, 2020","52.31","52.80","53.55","51.72","10.42M","-1.54%"
"Feb 19, 2020","53.13","50.70","53.21","50.60","11.65M","3.91%"
"Feb 18, 2020","51.13","51.00","51.39","50.60","8.73M","-1.08%"
"Feb 17, 2020","51.69","50.37","52.35","50.00","12.24M","2.97%"
"Feb 14, 2020","50.20","49.55","50.27","49.30","9.99M","1.25%"
"Feb 13, 2020","49.58","48.71","49.97","48.71","9.81M","-0.60%"
"Feb 12, 2020","49.88","48.92","50.67","48.50","11.52M","2.00%"
"Feb 11, 2020","48.90","49.05","49.45","48.34","6.08M","0.56%"
"Feb 10, 2020","48.63","48.28","48.95","47.63","9.70M","0.68%"
"Feb 07, 2020","48.30","48.26","48.80","47.44","8.61M","-0.80%"
"Feb 06, 2020","48.69","49.35","49.63","48.55","6.95M","-1.34%"
"Feb 05, 2020","49.35","50.30","50.49","48.54","15.79M","-1.22%"
"Feb 04, 2020","49.96","50.60","50.86","49.07","11.68M","-0.26%"
"Feb 03, 2020","50.09","48.50","50.36","47.85","10.62M","3.92%"
"Jan 31, 2020","48.20","48.00","48.25","47.50","13.04M","-1.23%"
"Jan 30, 2020","48.80","47.91","48.90","47.19","11.48M","0.41%"
"Jan 29, 2020","48.60","48.70","49.47","48.45","9.50M","-0.98%"
"Jan 28, 2020","49.08","47.85","49.31","47.77","7.49M","3.00%"
"Jan 27, 2020","47.65","48.06","48.70","47.40","15.29M","-2.74%"
"Jan 24, 2020","48.99","48.65","48.99","48.26","10.91M","0.60%"
"Jan 23, 2020","48.70","46.96","49.35","46.44","16.16M","2.53%"
"Jan 22, 2020","47.50","44.90","47.50","44.90","16.43M","6.26%"
"Jan 21, 2020","44.70","44.85","45.65","44.57","8.75M","-1.76%"
"Jan 20, 2020","45.50","45.00","45.50","44.76","5.93M","0.35%"
"Jan 17, 2020","45.34","44.06","45.34","44.01","11.99M","3.16%"
"Jan 16, 2020","43.95","43.95","44.17","43.31","13.59M","1.15%"
"Jan 15, 2020","43.45","44.40","44.71","42.95","20.80M","-2.69%"
"Jan 14, 2020","44.65","44.37","44.87","44.24","10.63M","0.68%"
"Jan 13, 2020","44.35","44.84","44.84","44.14","10.78M","0.11%"
"Jan 10, 2020","44.30","44.71","45.20","43.66","15.17M","-0.78%"
"Jan 09, 2020","44.65","44.70","46.11","44.42","18.84M","-0.04%"
"Jan 08, 2020","44.67","44.75","45.36","44.30","13.43M","-0.27%"
"Jan 07, 2020","44.79","43.59","44.85","43.49","14.93M","3.23%"
"Jan 06, 2020","43.39","43.67","44.88","43.08","20.02M","-0.96%"
"Jan 03, 2020","43.81","44.45","44.81","43.72","14.24M","-2.88%"
"Jan 02, 2020","45.11","43.18","45.11","43.18","19.97M","5.84%"
"Dec 30, 2019","42.62","43.86","43.97","42.50","18.22M","-2.81%"
"Dec 27, 2019","43.85","46.61","46.61","43.64","23.78M","-5.23%"
"Dec 26, 2019","46.27","46.60","46.81","45.87","11.90M","-0.45%"
"Dec 23, 2019","46.48","46.83","47.23","45.53","34.03M","-4.56%"
"Dec 20, 2019","48.70","48.17","48.84","47.86","13.15M","0.29%"
"Dec 19, 2019","48.56","48.20","49.00","47.81","11.34M","0.00%"
"Dec 18, 2019","48.56","47.60","48.56","47.23","19.02M","1.61%"
"Dec 17, 2019","47.79","46.50","47.79","46.36","11.70M","3.40%"
"Dec 16, 2019","46.22","46.63","46.95","46.18","10.14M","-0.39%"
"Dec 13, 2019","46.40","47.00","47.15","46.00","15.80M","-0.62%"
"Dec 12, 2019","46.69","46.70","47.34","46.37","19.07M","1.06%"
"Dec 11, 2019","46.20","47.02","47.22","45.87","14.97M","-1.26%"
"Dec 10, 2019","46.79","47.70","47.82","46.61","9.10M","-1.80%"
"Dec 09, 2019","47.65","49.15","49.28","47.58","11.63M","-2.95%"
"Dec 06, 2019","49.10","49.20","49.32","48.77","6.66M","-0.30%"
"Dec 05, 2019","49.25","49.35","49.36","48.72","6.37M","-0.26%"
"Dec 04, 2019","49.38","48.15","49.45","47.85","7.91M","2.64%"
"Dec 03, 2019","48.11","47.78","48.11","47.02","4.92M","1.07%"
"Dec 02, 2019","47.60","47.86","48.37","47.51","7.47M","-0.25%"
