"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 22, 2020","21.14","21.40","21.57","20.89","4.76M","-1.21%"
"Jul 21, 2020","21.40","21.28","21.69","21.15","6.23M","1.66%"
"Jul 20, 2020","21.05","20.75","21.06","20.62","4.07M","1.25%"
"Jul 17, 2020","20.79","20.63","20.99","20.51","4.92M","1.91%"
"Jul 16, 2020","20.40","20.74","20.74","20.34","4.39M","-1.64%"
"Jul 15, 2020","20.74","20.60","21.04","20.46","5.53M","2.07%"
"Jul 14, 2020","20.32","20.02","20.40","19.77","4.79M","1.40%"
"Jul 13, 2020","20.04","20.60","20.70","20.04","5.04M","-2.00%"
"Jul 10, 2020","20.45","20.28","20.49","20.01","2.48M","0.74%"
"Jul 09, 2020","20.30","20.66","20.79","20.22","5.04M","-1.26%"
"Jul 08, 2020","20.56","20.04","20.67","20.04","4.92M","3.42%"
"Jul 07, 2020","19.88","20.45","20.65","19.86","6.10M","-4.10%"
"Jul 06, 2020","20.73","20.04","20.75","19.91","5.95M","6.69%"
"Jul 03, 2020","19.43","19.32","19.55","19.23","1.78M","0.00%"
"Jul 02, 2020","19.43","19.73","19.98","19.42","3.39M","0.87%"
"Jul 01, 2020","19.26","19.11","19.54","19.06","5.49M","1.60%"
"Jun 30, 2020","18.96","19.21","19.35","18.86","6.87M","-3.07%"
"Jun 29, 2020","19.56","19.14","19.63","19.09","3.44M","2.52%"
"Jun 26, 2020","19.08","19.43","19.62","18.93","4.48M","-2.80%"
"Jun 25, 2020","19.63","19.38","19.87","19.20","4.92M","2.13%"
"Jun 24, 2020","19.22","19.60","19.69","19.10","6.03M","-2.19%"
"Jun 23, 2020","19.65","20.00","20.24","19.46","6.10M","0.05%"
"Jun 22, 2020","19.64","20.31","20.44","19.51","8.10M","-1.75%"
"Jun 19, 2020","19.99","20.71","20.85","19.99","12.53M","-2.25%"
"Jun 18, 2020","20.45","20.30","20.78","20.11","6.70M","-0.05%"
"Jun 17, 2020","20.46","20.21","20.92","20.12","7.09M","1.34%"
"Jun 16, 2020","20.19","20.21","20.53","19.85","5.46M","3.27%"
"Jun 15, 2020","19.55","19.28","19.86","19.11","6.62M","-1.71%"
"Jun 12, 2020","19.89","19.55","20.04","19.40","8.74M","-2.31%"
"Jun 10, 2020","20.36","21.55","21.60","20.36","8.07M","-4.01%"
