"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 31, 2020","95.70","97.61","97.69","95.70","9.48M","-2.64%"
"Aug 28, 2020","98.30","97.27","98.56","97.08","8.00M","1.48%"
"Aug 27, 2020","96.87","97.07","97.82","96.09","9.55M","0.25%"
"Aug 26, 2020","96.63","98.14","98.73","95.62","11.92M","-1.75%"
"Aug 25, 2020","98.35","98.82","99.06","97.81","5.29M","-0.15%"
"Aug 24, 2020","98.50","98.48","98.66","97.76","8.36M","0.92%"
"Aug 21, 2020","97.60","97.32","97.80","96.60","9.06M","-0.07%"
"Aug 20, 2020","97.67","95.24","98.01","95.08","14.78M","0.69%"
"Aug 19, 2020","97.00","98.46","98.46","96.91","11.21M","-1.27%"
"Aug 18, 2020","98.25","97.51","98.50","97.34","8.98M","2.53%"
"Aug 17, 2020","95.83","97.29","97.93","94.82","14.19M","-1.68%"
"Aug 14, 2020","97.47","96.95","97.94","96.64","9.08M","0.99%"
"Aug 13, 2020","96.51","98.87","99.40","96.39","12.99M","-1.85%"
"Aug 12, 2020","98.33","98.91","99.24","96.90","13.05M","0.13%"
"Aug 11, 2020","98.20","100.26","100.55","98.20","8.78M","-1.35%"
"Aug 10, 2020","99.54","99.09","100.00","97.48","8.46M","0.72%"
"Aug 07, 2020","98.83","98.90","100.39","98.11","9.39M","-1.34%"
"Aug 06, 2020","100.17","99.18","100.70","98.96","7.23M","1.19%"
"Aug 05, 2020","98.99","99.03","99.90","98.11","8.14M","1.42%"
"Aug 04, 2020","97.60","97.91","98.97","96.25","10.18M","-1.61%"
"Aug 03, 2020","99.20","99.96","100.04","98.50","8.09M","-0.09%"
"Jul 31, 2020","99.29","101.40","101.44","98.80","11.11M","-1.99%"
"Jul 30, 2020","101.31","100.75","101.75","99.99","7.33M","-0.17%"
"Jul 29, 2020","101.48","100.93","101.77","100.86","6.38M","1.43%"
"Jul 28, 2020","100.05","100.25","100.80","99.61","5.98M","-0.41%"
"Jul 27, 2020","100.46","98.93","100.73","98.85","7.77M","1.90%"
"Jul 24, 2020","98.59","98.30","98.93","97.09","9.46M","0.19%"
"Jul 23, 2020","98.40","100.38","101.06","98.27","7.85M","-1.97%"
"Jul 22, 2020","100.38","100.57","101.15","99.39","6.52M","0.09%"
"Jul 21, 2020","100.29","101.23","101.36","99.85","5.26M","-0.21%"
"Jul 20, 2020","100.50","99.12","100.60","98.88","8.56M","1.38%"
"Jul 17, 2020","99.13","97.42","99.25","97.42","5.62M","2.39%"
"Jul 16, 2020","96.82","97.55","97.80","96.46","6.11M","-1.23%"
"Jul 15, 2020","98.03","97.70","98.34","96.93","13.98M","1.48%"
"Jul 14, 2020","96.60","95.10","96.87","94.62","9.50M","1.63%"
"Jul 13, 2020","95.05","96.89","97.15","95.05","7.75M","-1.34%"
"Jul 10, 2020","96.34","95.45","96.42","95.00","8.97M","0.97%"
"Jul 09, 2020","95.41","96.28","96.46","95.18","8.09M","-0.72%"
"Jul 08, 2020","96.10","94.94","96.30","94.81","7.35M","2.13%"
"Jul 07, 2020","94.10","94.91","95.30","93.65","8.58M","-1.27%"
"Jul 06, 2020","95.31","94.77","95.62","94.51","7.59M","2.27%"
"Jul 03, 2020","93.19","92.44","93.21","92.29","6.15M","0.75%"
"Jul 02, 2020","92.50","93.80","94.42","92.50","7.04M","-0.19%"
"Jul 01, 2020","92.68","91.88","93.35","91.88","8.00M","1.16%"
"Jun 30, 2020","91.62","91.78","92.74","91.26","8.85M","-0.74%"
"Jun 29, 2020","92.30","91.15","92.30","90.35","8.95M","2.31%"
"Jun 26, 2020","90.22","91.87","92.44","90.02","7.31M","-2.35%"
"Jun 25, 2020","92.39","90.79","92.75","90.61","8.74M","1.78%"
"Jun 24, 2020","90.77","92.05","92.37","89.76","9.84M","-1.62%"
"Jun 23, 2020","92.26","93.10","93.81","92.14","8.23M","0.56%"
"Jun 22, 2020","91.75","93.22","93.30","91.33","8.43M","-0.96%"
"Jun 19, 2020","92.64","93.80","94.00","92.29","12.98M","0.01%"
"Jun 18, 2020","92.63","91.24","93.58","91.15","9.71M","0.74%"
"Jun 17, 2020","91.95","90.54","93.00","90.00","10.72M","2.17%"
"Jun 16, 2020","90.00","91.40","91.69","89.37","12.22M","1.04%"
"Jun 15, 2020","89.07","87.25","89.74","86.71","18.43M","-0.20%"
"Jun 12, 2020","89.25","88.52","89.90","87.37","15.69M","-2.11%"
"Jun 10, 2020","91.17","93.95","94.12","91.05","16.07M","-1.92%"
