"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 22, 2020","24.95","25.33","25.60","24.69","3.15M","-1.19%"
"Jul 21, 2020","25.25","25.69","25.80","25.00","7.54M","-1.02%"
"Jul 20, 2020","25.51","26.04","26.08","25.32","2.70M","-1.51%"
"Jul 17, 2020","25.90","25.92","26.13","25.72","1.56M","0.35%"
"Jul 16, 2020","25.81","26.40","26.40","25.56","2.77M","-2.12%"
"Jul 15, 2020","26.37","25.84","26.37","25.60","2.09M","2.89%"
"Jul 14, 2020","25.63","25.52","25.66","24.86","2.09M","0.00%"
"Jul 13, 2020","25.63","25.51","26.22","25.30","1.96M","0.75%"
"Jul 10, 2020","25.44","25.60","25.84","25.40","1.21M","-1.01%"
"Jul 09, 2020","25.70","26.37","26.42","25.70","914.30K","-2.17%"
"Jul 08, 2020","26.27","25.86","26.60","25.80","2.12M","2.06%"
"Jul 07, 2020","25.74","25.05","25.74","24.97","1.91M","3.04%"
"Jul 06, 2020","24.98","25.23","25.35","24.93","1.67M","0.77%"
"Jul 03, 2020","24.79","24.65","24.89","24.54","546.40K","0.57%"
"Jul 02, 2020","24.65","25.20","25.40","24.62","1.64M","-1.08%"
"Jul 01, 2020","24.92","24.91","25.29","24.63","1.88M","1.34%"
"Jun 30, 2020","24.59","24.47","25.04","24.39","2.02M","-0.08%"
"Jun 29, 2020","24.61","24.31","24.65","24.10","1.12M","1.03%"
"Jun 26, 2020","24.36","24.92","25.07","24.20","1.35M","-2.33%"
"Jun 25, 2020","24.94","24.62","25.27","24.40","1.18M","1.55%"
"Jun 24, 2020","24.56","25.00","25.50","24.48","2.16M","-2.35%"
"Jun 23, 2020","25.15","25.30","26.00","24.70","5.28M","1.41%"
"Jun 22, 2020","24.80","25.30","25.55","24.80","2.46M","-1.23%"
"Jun 19, 2020","25.11","26.42","26.46","25.10","5.18M","-3.42%"
"Jun 18, 2020","26.00","26.10","26.35","25.46","2.54M","-0.73%"
"Jun 17, 2020","26.19","25.00","26.19","24.87","2.42M","4.76%"
"Jun 16, 2020","25.00","25.51","25.71","24.67","2.59M","0.89%"
"Jun 15, 2020","24.78","24.13","25.00","23.92","1.72M","-0.52%"
"Jun 12, 2020","24.91","24.28","24.96","23.80","3.09M","-1.85%"
"Jun 10, 2020","25.38","25.52","25.86","24.98","1.87M","-0.82%"
"Jun 09, 2020","25.59","25.69","26.12","24.83","2.18M","-1.80%"
"Jun 08, 2020","26.06","26.01","26.48","25.92","1.96M","1.05%"
"Jun 05, 2020","25.79","25.99","26.16","25.66","2.65M","2.34%"
"Jun 04, 2020","25.20","25.80","25.91","24.70","3.05M","-2.51%"
"Jun 03, 2020","25.85","25.98","27.19","25.46","3.81M","0.94%"
"Jun 02, 2020","25.61","24.13","25.86","24.13","2.78M","6.75%"
"Jun 01, 2020","23.99","23.35","23.99","23.10","1.60M","2.74%"
"May 29, 2020","23.35","22.90","23.61","22.56","2.50M","2.14%"
"May 28, 2020","22.86","23.50","23.51","22.55","1.75M","-2.10%"
"May 27, 2020","23.35","24.50","25.00","23.17","3.03M","1.08%"
"May 26, 2020","23.10","23.50","24.00","23.10","2.58M","0.43%"
"May 25, 2020","23.00","22.60","23.47","22.48","2.03M","3.46%"
"May 22, 2020","22.23","21.85","22.49","21.25","2.09M","0.68%"
"May 21, 2020","22.08","20.82","22.29","20.82","2.92M","5.80%"
"May 20, 2020","20.87","20.13","21.02","20.10","3.03M","4.56%"
"May 19, 2020","19.96","20.95","21.10","19.96","3.41M","-3.57%"
"May 18, 2020","20.70","20.80","20.91","20.26","2.25M","2.73%"
