"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 03, 2020","62.75","63.35","64.68","61.52","6.73M","-0.81%"
"Jun 02, 2020","63.26","61.37","63.62","60.95","4.61M","2.45%"
"Jun 01, 2020","61.75","61.16","62.97","60.54","4.19M","-0.88%"
"May 29, 2020","62.30","62.52","62.82","60.00","6.76M","-0.46%"
"May 28, 2020","62.59","61.66","63.78","60.88","2.86M","0.30%"
"May 27, 2020","62.40","62.95","63.01","61.03","2.77M","0.00%"
"May 26, 2020","62.40","60.12","62.86","59.72","4.30M","4.87%"
"May 25, 2020","59.50","57.31","60.05","56.94","1.81M","5.14%"
"May 22, 2020","56.59","55.90","57.00","55.60","3.15M","0.12%"
"May 21, 2020","56.52","55.80","57.77","54.74","5.84M","1.89%"
"May 20, 2020","55.47","55.01","55.98","53.91","2.47M","0.27%"
"May 19, 2020","55.32","55.39","56.25","54.10","1.82M","-0.11%"
"May 18, 2020","55.38","53.77","55.38","52.74","2.73M","5.81%"
"May 15, 2020","52.34","51.95","52.34","49.80","5.23M","-0.48%"
"May 14, 2020","52.59","52.50","53.31","50.46","5.99M","-1.00%"
"May 13, 2020","53.12","54.79","55.20","51.29","3.15M","-2.30%"
"May 12, 2020","54.37","53.02","56.04","53.01","2.82M","1.12%"
"May 11, 2020","53.77","55.00","55.80","53.17","2.76M","-3.45%"
"May 08, 2020","55.69","58.25","58.41","54.22","3.40M","-1.42%"
"May 07, 2020","56.49","56.00","59.56","55.02","7.15M","4.11%"
"May 06, 2020","54.26","54.86","55.65","52.65","4.34M","-0.80%"
"May 05, 2020","54.70","53.81","56.29","52.69","3.57M","2.24%"
"May 04, 2020","53.50","51.81","53.50","51.07","4.37M","-2.39%"
"Apr 30, 2020","54.81","55.98","56.95","54.51","2.93M","-3.84%"
"Apr 29, 2020","57.00","56.80","57.85","56.19","3.96M","1.79%"
"Apr 28, 2020","56.00","55.68","57.37","55.14","3.35M","2.21%"
"Apr 27, 2020","54.79","53.02","54.99","52.35","5.18M","5.28%"
"Apr 24, 2020","52.04","52.16","53.41","46.10","6.86M","-4.13%"
"Apr 23, 2020","54.28","56.85","57.24","51.59","4.68M","-4.52%"
"Apr 22, 2020","56.85","58.75","59.45","56.18","4.04M","-1.20%"
"Apr 20, 2020","57.54","54.00","59.37","53.29","2.27M","3.49%"
"Apr 17, 2020","55.60","56.25","57.00","54.61","3.69M","1.22%"
"Apr 16, 2020","54.93","55.40","56.20","53.70","4.41M","0.35%"
"Apr 15, 2020","54.74","54.69","56.08","52.82","4.09M","-2.37%"
"Apr 14, 2020","56.07","52.95","57.13","52.68","5.40M","9.94%"
"Apr 13, 2020","51.00","51.05","52.00","50.18","2.58M","-2.21%"
"Apr 09, 2020","52.15","50.25","53.72","49.20","4.34M","3.82%"
"Apr 08, 2020","50.23","48.91","51.00","47.97","2.07M","3.18%"
"Apr 07, 2020","48.68","50.47","51.99","47.86","5.38M","11.63%"
"Apr 06, 2020","43.61","39.19","46.16","39.19","5.50M","16.76%"
