"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 22, 2020","25.30","25.60","25.79","25.03","507.20K","-1.13%"
"Jul 21, 2020","25.59","25.45","25.85","25.39","371.50K","0.95%"
"Jul 20, 2020","25.35","25.09","25.44","24.97","325.20K","1.04%"
"Jul 17, 2020","25.09","25.01","25.25","24.99","328.10K","0.40%"
"Jul 16, 2020","24.99","24.92","25.19","24.92","320.90K","-1.46%"
"Jul 15, 2020","25.36","25.35","25.50","25.07","494.30K","0.60%"
"Jul 14, 2020","25.21","25.10","25.21","24.61","648.10K","0.92%"
"Jul 13, 2020","24.98","25.31","25.53","24.98","398.40K","-1.15%"
"Jul 10, 2020","25.27","25.13","25.29","24.75","455.10K","0.56%"
"Jul 09, 2020","25.13","25.17","25.31","24.93","464.70K","-0.08%"
"Jul 08, 2020","25.15","24.85","25.25","24.69","608.40K","1.58%"
"Jul 07, 2020","24.76","25.30","25.38","24.48","906.80K","-2.37%"
"Jul 06, 2020","25.36","24.81","25.54","24.81","598.30K","3.34%"
"Jul 03, 2020","24.54","24.64","24.82","24.35","282.40K","-0.12%"
"Jul 02, 2020","24.57","24.66","25.31","24.57","927.10K","1.07%"
"Jul 01, 2020","24.31","24.16","24.70","23.91","459.80K","1.36%"
"Jun 30, 2020","23.99","24.71","24.71","23.99","438.00K","-2.95%"
"Jun 29, 2020","24.71","24.14","24.81","24.14","574.00K","2.57%"
"Jun 26, 2020","24.09","24.50","24.78","24.09","649.60K","-2.35%"
"Jun 25, 2020","24.67","24.68","24.92","24.28","793.50K","0.57%"
"Jun 24, 2020","24.53","25.09","25.13","24.18","1.30M","-2.15%"
"Jun 23, 2020","25.07","25.80","25.80","24.86","899.50K","-0.87%"
"Jun 22, 2020","25.29","26.04","26.30","25.19","2.10M","-4.09%"
"Jun 19, 2020","26.37","25.49","26.37","24.91","5.34M","4.93%"
"Jun 18, 2020","25.13","24.43","25.65","24.42","1.55M","2.57%"
"Jun 17, 2020","24.50","24.42","24.83","24.22","1.12M","0.91%"
"Jun 16, 2020","24.28","24.32","24.71","24.05","1.25M","2.10%"
"Jun 15, 2020","23.79","23.78","24.26","23.45","1.01M","-2.74%"
"Jun 12, 2020","24.45","24.06","24.83","23.35","1.05M","-2.55%"
"Jun 10, 2020","25.09","26.28","26.30","24.93","966.30K","-3.57%"
"Jun 09, 2020","26.02","26.18","26.25","25.34","1.14M","-1.03%"
"Jun 08, 2020","26.29","25.76","26.54","25.76","910.10K","2.25%"
"Jun 05, 2020","25.71","26.23","26.70","25.44","1.60M","2.10%"
"Jun 04, 2020","25.18","24.47","25.18","23.90","982.40K","2.86%"
"Jun 03, 2020","24.48","24.48","24.73","24.21","1.46M","3.20%"
"Jun 02, 2020","23.73","23.04","23.73","22.77","1.36M","5.28%"
"Jun 01, 2020","22.54","21.96","22.73","21.60","1.91M","2.85%"
"May 29, 2020","21.91","22.19","22.33","21.62","1.37M","-1.26%"
"May 28, 2020","22.19","22.67","22.82","22.18","756.30K","-2.29%"
"May 27, 2020","22.71","22.17","22.71","21.98","856.30K","3.84%"
"May 26, 2020","21.87","22.77","23.12","21.74","1.30M","-3.44%"
"May 25, 2020","22.65","22.47","22.70","22.08","1.05M","4.81%"
"May 22, 2020","21.61","21.55","22.04","21.04","1.27M","0.60%"
"May 21, 2020","21.48","20.72","21.60","20.72","1.37M","3.66%"
"May 20, 2020","20.72","20.92","20.92","20.49","841.90K","0.63%"
"May 19, 2020","20.59","21.47","21.52","20.59","887.50K","-3.55%"
"May 18, 2020","21.35","21.33","21.64","20.80","793.60K","3.54%"
"May 15, 2020","20.62","21.45","21.53","20.62","551.80K","-3.91%"
"May 14, 2020","21.46","20.56","21.46","20.01","1.48M","3.07%"
"May 13, 2020","20.82","20.97","21.22","20.37","628.40K","-0.24%"
"May 12, 2020","20.87","21.68","21.78","20.85","749.80K","-3.73%"
"May 11, 2020","21.68","21.31","21.87","21.21","1.05M","1.73%"
"May 08, 2020","21.31","20.77","21.87","20.77","943.00K","2.60%"
"May 07, 2020","20.77","21.95","21.95","20.47","623.80K","-3.26%"
"May 06, 2020","21.47","21.96","21.96","21.37","1.02M","-1.38%"
"May 05, 2020","21.77","21.53","22.43","21.22","887.90K","3.32%"
"May 04, 2020","21.07","21.35","21.38","21.07","742.40K","-4.03%"
"Apr 30, 2020","21.96","22.13","22.37","21.91","952.30K","-3.17%"
"Apr 29, 2020","22.67","22.60","23.18","22.44","611.10K","1.07%"
"Apr 28, 2020","22.44","21.25","22.65","21.24","1.13M","8.44%"
"Apr 27, 2020","20.69","20.96","21.36","20.41","959.90K","1.17%"
"Apr 24, 2020","20.45","21.01","21.11","19.72","1.69M","-3.53%"
"Apr 23, 2020","21.20","22.05","22.18","21.20","909.70K","-2.52%"
"Apr 22, 2020","21.75","21.99","22.27","21.58","723.00K","-1.09%"
"Apr 20, 2020","21.99","21.84","22.13","21.51","698.20K","-0.45%"
"Apr 17, 2020","22.09","22.51","22.91","21.53","966.20K","0.59%"
"Apr 16, 2020","21.96","22.65","22.65","21.63","1.18M","-1.17%"
