"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 22, 2020","4.34","4.35","4.45","4.30","399.40K","0.70%"
"Jul 21, 2020","4.31","4.35","4.38","4.24","336.10K","-0.69%"
"Jul 20, 2020","4.34","4.27","4.37","4.23","373.50K","1.64%"
"Jul 17, 2020","4.27","4.20","4.30","4.20","228.80K","1.67%"
"Jul 16, 2020","4.20","4.25","4.31","4.20","165.40K","-1.18%"
"Jul 15, 2020","4.25","4.20","4.30","4.14","409.70K","1.19%"
"Jul 14, 2020","4.20","4.10","4.20","4.03","236.60K","2.94%"
"Jul 13, 2020","4.08","4.18","4.21","4.07","293.80K","-2.39%"
"Jul 10, 2020","4.18","4.24","4.24","4.16","245.50K","-1.42%"
"Jul 09, 2020","4.24","4.30","4.31","4.20","200.50K","-1.40%"
"Jul 08, 2020","4.30","4.20","4.32","4.20","467.10K","2.63%"
"Jul 07, 2020","4.19","4.21","4.26","4.15","223.70K","-0.95%"
"Jul 06, 2020","4.23","4.29","4.30","4.17","453.00K","-1.17%"
"Jul 03, 2020","4.28","4.23","4.28","4.18","184.80K","1.18%"
"Jul 02, 2020","4.23","4.27","4.35","4.19","277.40K","-0.94%"
"Jul 01, 2020","4.27","4.16","4.29","4.11","213.20K","2.40%"
"Jun 30, 2020","4.17","4.14","4.22","4.11","287.10K","1.71%"
"Jun 29, 2020","4.10","4.30","4.30","3.89","422.10K","-3.98%"
"Jun 26, 2020","4.27","4.19","4.34","4.18","293.50K","1.67%"
"Jun 25, 2020","4.20","4.20","4.25","4.12","305.60K","0.24%"
"Jun 24, 2020","4.19","4.10","4.20","4.07","442.80K","2.20%"
"Jun 23, 2020","4.10","4.10","4.19","4.01","184.80K","-2.38%"
"Jun 22, 2020","4.20","4.20","4.25","4.09","255.80K","0.48%"
"Jun 19, 2020","4.18","4.11","4.21","4.08","639.30K","1.95%"
"Jun 18, 2020","4.10","3.96","4.10","3.91","532.00K","3.54%"
"Jun 17, 2020","3.96","3.91","4.02","3.91","243.20K","1.28%"
"Jun 16, 2020","3.91","3.98","3.99","3.90","300.80K","-0.26%"
"Jun 15, 2020","3.92","3.92","4.04","3.80","769.30K","0.00%"
"Jun 12, 2020","3.92","3.95","3.98","3.75","486.60K","-1.75%"
"Jun 10, 2020","3.99","4.00","4.03","3.95","376.30K","-0.25%"
"Jun 09, 2020","4.00","3.99","4.04","3.96","357.90K","0.00%"
"Jun 08, 2020","4.00","3.95","4.00","3.86","646.60K","1.27%"
"Jun 05, 2020","3.95","4.02","4.08","3.90","958.60K","-2.23%"
"Jun 04, 2020","4.04","4.01","4.08","4.00","367.00K","0.75%"
"Jun 03, 2020","4.01","4.07","4.10","3.98","665.30K","-1.47%"
"Jun 02, 2020","4.07","4.12","4.14","4.03","510.00K","-0.73%"
"Jun 01, 2020","4.10","4.03","4.18","3.94","408.80K","1.23%"
"May 29, 2020","4.05","4.00","4.08","3.93","280.90K","0.75%"
"May 28, 2020","4.02","4.07","4.16","4.00","348.60K","-1.23%"
"May 27, 2020","4.07","4.00","4.08","3.93","391.70K","3.56%"
"May 26, 2020","3.93","4.00","4.03","3.89","400.40K","-0.25%"
"May 25, 2020","3.94","4.00","4.07","3.90","851.60K","-0.51%"
"May 22, 2020","3.96","3.97","4.09","3.92","317.50K","0.25%"
"May 21, 2020","3.95","4.05","4.13","3.89","567.90K","-2.95%"
"May 20, 2020","4.07","4.15","4.23","4.02","259.00K","-1.45%"
"May 19, 2020","4.13","4.15","4.26","4.10","405.10K","0.00%"
"May 18, 2020","4.13","4.50","4.56","4.07","759.10K","-6.14%"
"May 15, 2020","4.40","4.52","4.65","4.31","435.10K","-5.17%"
"May 14, 2020","4.64","4.74","4.99","4.48","724.00K","-2.11%"
"May 13, 2020","4.74","4.37","4.79","4.37","1.15M","8.47%"
"May 12, 2020","4.37","4.50","4.59","4.24","435.40K","-1.58%"
"May 11, 2020","4.44","4.40","4.55","4.37","587.60K","1.14%"
"May 08, 2020","4.39","4.21","4.44","4.21","763.90K","5.02%"
"May 07, 2020","4.18","3.84","4.33","3.83","1.21M","8.85%"
"May 06, 2020","3.84","3.82","3.92","3.70","292.80K","-0.78%"
"May 05, 2020","3.87","3.73","3.89","3.65","579.90K","6.61%"
"May 04, 2020","3.63","3.71","3.77","3.57","233.40K","-2.16%"
"Apr 30, 2020","3.71","3.62","3.75","3.61","320.30K","2.77%"
"Apr 29, 2020","3.61","3.70","3.70","3.54","312.30K","0.00%"
"Apr 28, 2020","3.61","3.75","3.80","3.40","313.70K","0.28%"
"Apr 27, 2020","3.60","3.58","3.75","3.57","367.00K","0.28%"
"Apr 24, 2020","3.59","3.52","3.65","3.30","828.90K","2.28%"
"Apr 23, 2020","3.51","3.42","3.52","3.35","444.80K","2.63%"
"Apr 22, 2020","3.42","3.30","3.42","3.30","434.50K","3.95%"
"Apr 20, 2020","3.29","3.25","3.32","3.21","493.60K","1.23%"
"Apr 17, 2020","3.25","3.37","3.39","3.24","321.20K","-0.61%"
"Apr 16, 2020","3.27","3.40","3.40","3.24","367.90K","-1.21%"
"Apr 15, 2020","3.31","3.43","3.48","3.29","519.90K","-2.65%"
"Apr 14, 2020","3.40","3.45","3.53","3.40","382.50K","-0.58%"
"Apr 13, 2020","3.42","3.38","3.42","3.31","226.80K","2.40%"
"Apr 09, 2020","3.34","3.45","3.53","3.32","466.80K","-1.76%"
"Apr 08, 2020","3.40","3.39","3.45","3.30","263.20K","0.59%"
"Apr 07, 2020","3.38","3.60","3.70","3.27","604.90K","-3.43%"
"Apr 06, 2020","3.50","3.43","3.56","3.40","320.80K","2.04%"
"Apr 03, 2020","3.43","3.42","3.50","3.35","215.20K","-2.00%"
"Apr 02, 2020","3.50","3.25","3.50","3.25","446.90K","7.69%"
"Apr 01, 2020","3.25","3.30","3.43","3.20","373.00K","-1.81%"
"Mar 31, 2020","3.31","3.35","3.49","3.27","425.20K","4.42%"
"Mar 30, 2020","3.17","3.28","3.49","3.17","756.80K","5.32%"
"Mar 27, 2020","3.01","2.92","3.29","2.79","1.23M","5.61%"
"Mar 26, 2020","2.85","2.94","3.03","2.85","662.40K","0.00%"
"Mar 25, 2020","2.85","2.88","3.09","2.80","532.40K","1.79%"
"Mar 24, 2020","2.80","2.90","3.05","2.72","668.70K","-1.75%"
"Mar 23, 2020","2.85","2.70","2.91","2.60","473.20K","3.64%"
"Mar 20, 2020","2.75","3.03","3.20","2.53","759.00K","-6.14%"
"Mar 19, 2020","2.93","2.59","2.99","2.37","517.90K","13.57%"
"Mar 18, 2020","2.58","2.80","2.80","2.45","1.04M","-9.47%"
"Mar 17, 2020","2.85","2.90","3.15","2.80","584.20K","-0.70%"
"Mar 16, 2020","2.87","3.22","3.22","2.75","1.30M","-11.42%"
"Mar 13, 2020","3.24","3.50","3.60","3.12","728.60K","2.21%"
"Mar 12, 2020","3.17","3.45","3.50","3.06","700.90K","-12.43%"
"Mar 11, 2020","3.62","3.93","3.96","3.31","645.60K","-7.89%"
"Mar 10, 2020","3.93","4.11","4.18","3.85","494.40K","-0.25%"
"Mar 09, 2020","3.94","3.98","4.05","3.83","559.90K","-4.83%"
"Mar 06, 2020","4.14","4.29","4.33","4.06","372.50K","-3.94%"
"Mar 05, 2020","4.31","4.35","4.53","4.25","366.00K","-3.15%"
"Mar 04, 2020","4.45","4.20","4.46","4.19","545.00K","6.21%"
"Mar 03, 2020","4.19","4.19","4.25","4.11","436.70K","2.70%"
"Mar 02, 2020","4.08","4.00","4.17","3.93","419.50K","5.15%"
"Feb 28, 2020","3.88","3.90","3.95","3.75","315.70K","-0.51%"
"Feb 27, 2020","3.90","4.06","4.07","3.90","369.00K","-3.94%"
"Feb 26, 2020","4.06","4.18","4.22","4.03","363.60K","-6.88%"
"Feb 21, 2020","4.36","4.25","4.41","4.21","414.20K","2.83%"
"Feb 20, 2020","4.24","4.28","4.29","4.17","121.70K","-0.24%"
"Feb 19, 2020","4.25","4.26","4.26","4.19","107.10K","0.95%"
"Feb 18, 2020","4.21","4.23","4.27","4.16","194.00K","-1.64%"
"Feb 17, 2020","4.28","4.30","4.33","4.25","104.00K","-0.47%"
"Feb 14, 2020","4.30","4.35","4.40","4.25","107.80K","-1.15%"
"Feb 13, 2020","4.35","4.28","4.44","4.26","127.80K","-0.91%"
"Feb 12, 2020","4.39","4.27","4.40","4.22","261.70K","4.28%"
"Feb 11, 2020","4.21","4.14","4.21","4.08","176.90K","3.69%"
"Feb 10, 2020","4.06","4.16","4.21","4.05","240.40K","-2.40%"
"Feb 07, 2020","4.16","4.30","4.30","4.16","231.20K","-2.80%"
"Feb 06, 2020","4.28","4.28","4.40","4.26","370.90K","0.47%"
"Feb 05, 2020","4.26","4.32","4.38","4.26","164.90K","-0.47%"
"Feb 04, 2020","4.28","4.30","4.32","4.22","131.40K","-0.47%"
"Feb 03, 2020","4.30","4.31","4.31","4.21","234.40K","1.18%"
"Jan 31, 2020","4.25","4.17","4.32","4.17","190.20K","2.41%"
"Jan 30, 2020","4.15","4.25","4.30","3.90","288.70K","-3.49%"
"Jan 29, 2020","4.30","4.30","4.35","4.28","264.90K","0.00%"
"Jan 28, 2020","4.30","4.26","4.35","4.20","161.10K","0.00%"
"Jan 27, 2020","4.30","4.35","4.37","4.25","406.50K","-3.15%"
"Jan 24, 2020","4.44","4.48","4.52","4.40","220.90K","-0.67%"
"Jan 23, 2020","4.47","4.46","4.53","4.44","476.40K","0.68%"
"Jan 22, 2020","4.44","4.39","4.44","4.35","365.50K","2.07%"
"Jan 21, 2020","4.35","4.39","4.40","4.35","247.20K","-0.91%"
"Jan 20, 2020","4.39","4.40","4.40","4.32","132.00K","-0.23%"
"Jan 17, 2020","4.40","4.30","4.40","4.28","358.20K","2.33%"
"Jan 16, 2020","4.30","4.35","4.35","4.26","150.20K","-0.69%"
"Jan 15, 2020","4.33","4.36","4.36","4.26","312.30K","-0.23%"
"Jan 14, 2020","4.34","4.36","4.36","4.30","273.80K","-0.46%"
"Jan 13, 2020","4.36","4.35","4.39","4.29","240.20K","1.87%"
"Jan 10, 2020","4.28","4.29","4.33","4.27","212.10K","0.00%"
"Jan 09, 2020","4.28","4.28","4.36","4.23","233.30K","0.00%"
"Jan 08, 2020","4.28","4.35","4.37","4.20","406.80K","-1.61%"
"Jan 07, 2020","4.35","4.37","4.45","4.28","304.80K","0.00%"
"Jan 06, 2020","4.35","4.33","4.40","4.30","187.30K","0.00%"
"Jan 03, 2020","4.35","4.34","4.35","4.25","353.40K","0.23%"
"Jan 02, 2020","4.34","4.26","4.35","4.25","349.40K","1.88%"
"Dec 30, 2019","4.26","4.28","4.29","4.23","247.20K","-0.23%"
"Dec 27, 2019","4.27","4.30","4.30","4.20","240.20K","0.00%"
"Dec 26, 2019","4.27","4.21","4.31","4.21","357.30K","1.43%"
"Dec 23, 2019","4.21","4.23","4.29","4.15","324.90K","0.48%"
"Dec 20, 2019","4.19","4.19","4.29","4.18","390.40K","0.00%"
"Dec 19, 2019","4.19","4.35","4.36","4.18","489.90K","-3.46%"
"Dec 18, 2019","4.34","4.35","4.36","4.26","239.10K","0.23%"
"Dec 17, 2019","4.33","4.30","4.35","4.26","180.40K","1.41%"
"Dec 16, 2019","4.27","4.29","4.32","4.24","227.50K","-0.47%"
"Dec 13, 2019","4.29","4.26","4.34","4.24","203.50K","0.23%"
"Dec 12, 2019","4.28","4.21","4.31","4.21","251.50K","1.90%"
"Dec 11, 2019","4.20","4.16","4.20","4.10","194.20K","2.19%"
"Dec 10, 2019","4.11","4.08","4.16","4.02","214.00K","1.23%"
"Dec 09, 2019","4.06","4.10","4.24","4.05","371.10K","0.25%"
"Dec 06, 2019","4.05","4.02","4.10","4.01","193.90K","1.00%"
"Dec 05, 2019","4.01","4.01","4.05","4.00","114.10K","0.00%"
