"Date","Price","Open","High","Low","Change %"
"Aug 31, 2020","10,686.000","10,686.000","10,686.000","10,686.000","0.00%"
"Aug 28, 2020","10,686.000","10,686.000","10,686.000","10,686.000","0.00%"
"Aug 27, 2020","10,686.000","10,686.000","10,686.000","10,686.000","0.00%"
"Aug 26, 2020","10,686.000","10,686.000","10,686.000","10,686.000","0.00%"
"Aug 25, 2020","10,686.000","10,686.000","10,686.000","10,686.000","0.00%"
"Aug 24, 2020","10,686.000","10,686.000","10,686.000","10,686.000","0.00%"
"Aug 21, 2020","10,686.000","10,686.000","10,686.000","10,686.000","0.12%"
"Aug 20, 2020","10,673.000","10,673.000","10,673.000","10,673.000","0.00%"
"Aug 19, 2020","10,673.000","10,673.000","10,673.000","10,673.000","0.00%"
"Aug 18, 2020","10,673.000","10,673.000","10,673.000","10,673.000","0.00%"
"Aug 17, 2020","10,673.000","10,673.000","10,673.000","10,673.000","0.00%"
"Aug 14, 2020","10,673.000","10,673.000","10,673.000","10,673.000","0.00%"
"Aug 13, 2020","10,673.000","10,673.000","10,673.000","10,673.000","0.00%"
"Aug 12, 2020","10,673.000","10,673.000","10,673.000","10,673.000","0.00%"
"Aug 11, 2020","10,673.000","10,673.000","10,673.000","10,673.000","0.00%"
"Aug 10, 2020","10,673.000","10,673.000","10,673.000","10,673.000","0.00%"
"Aug 07, 2020","10,673.000","10,673.000","10,673.000","10,673.000","0.00%"
"Aug 06, 2020","10,673.000","10,673.000","10,673.000","10,673.000","0.00%"
"Aug 05, 2020","10,673.000","10,673.000","10,673.000","10,673.000","0.00%"
"Aug 04, 2020","10,673.000","10,673.000","10,673.000","10,673.000","0.00%"
"Aug 03, 2020","10,673.000","10,673.000","10,673.000","10,673.000","0.00%"
"Jul 31, 2020","10,673.000","10,673.000","10,673.000","10,673.000","0.00%"
"Jul 30, 2020","10,673.000","10,673.000","10,673.000","10,673.000","0.08%"
"Jul 29, 2020","10,664.000","10,664.000","10,664.000","10,664.000","0.00%"
"Jul 28, 2020","10,664.000","10,664.000","10,664.000","10,664.000","0.00%"
"Jul 27, 2020","10,664.000","10,664.000","10,664.000","10,664.000","0.00%"
"Jul 24, 2020","10,664.000","10,664.000","10,664.000","10,664.000","0.00%"
"Jul 23, 2020","10,664.000","10,664.000","10,664.000","10,664.000","0.00%"
"Jul 22, 2020","10,664.000","10,664.000","10,664.000","10,664.000","0.00%"
"Jul 21, 2020","10,664.000","10,664.000","10,664.000","10,664.000","0.00%"
"Jul 20, 2020","10,664.000","10,664.000","10,664.000","10,664.000","0.00%"
"Jul 17, 2020","10,664.000","10,664.000","10,664.000","10,664.000","0.00%"
"Jul 16, 2020","10,664.000","10,664.000","10,664.000","10,664.000","0.08%"
"Jul 15, 2020","10,656.000","10,656.000","10,656.000","10,656.000","0.00%"
"Jul 14, 2020","10,656.000","10,656.000","10,656.000","10,656.000","0.00%"
"Jul 13, 2020","10,656.000","10,656.000","10,656.000","10,656.000","0.00%"
"Jul 10, 2020","10,656.000","10,656.000","10,656.000","10,656.000","0.00%"
"Jul 09, 2020","10,656.000","10,656.000","10,656.000","10,656.000","0.00%"
"Jul 08, 2020","10,656.000","10,656.000","10,656.000","10,656.000","0.00%"
"Jul 07, 2020","10,656.000","10,656.000","10,656.000","10,656.000","0.00%"
"Jul 06, 2020","10,656.000","10,656.000","10,656.000","10,656.000","0.00%"
"Jul 03, 2020","10,656.000","10,656.000","10,656.000","10,656.000","0.10%"
"Jul 02, 2020","10,645.000","10,645.000","10,645.000","10,645.000","0.00%"
"Jul 01, 2020","10,645.000","10,645.000","10,645.000","10,645.000","0.00%"
"Jun 30, 2020","10,645.000","10,645.000","10,645.000","10,645.000","0.00%"
"Jun 29, 2020","10,645.000","10,645.000","10,645.000","10,645.000","0.00%"
"Jun 28, 2020","10,645.000","10,645.000","10,645.000","10,645.000","0.00%"
"Jun 26, 2020","10,645.000","10,645.000","10,645.000","10,645.000","0.00%"
"Jun 25, 2020","10,645.000","10,645.000","10,645.000","10,645.000","0.00%"
"Jun 24, 2020","10,645.000","10,645.000","10,645.000","10,645.000","0.00%"
"Jun 23, 2020","10,645.000","10,645.000","10,645.000","10,645.000","0.00%"
"Jun 22, 2020","10,645.000","10,645.000","10,645.000","10,645.000","0.00%"
"Jun 21, 2020","10,645.000","10,645.000","10,645.000","10,645.000","0.00%"
"Jun 19, 2020","10,645.000","10,645.000","10,645.000","10,645.000","0.00%"
"Jun 18, 2020","10,645.000","10,645.000","10,645.000","10,645.000","0.15%"
"Jun 17, 2020","10,629.000","10,629.000","10,645.000","10,629.000","0.00%"
"Jun 16, 2020","10,629.000","10,629.000","10,629.000","10,629.000","0.00%"
"Jun 15, 2020","10,629.000","10,629.000","10,629.000","10,629.000","0.00%"
"Jun 14, 2020","10,629.000","10,629.000","10,629.000","10,629.000","0.00%"
"Jun 12, 2020","10,629.000","10,629.000","10,629.000","10,629.000","0.00%"
"Jun 11, 2020","10,629.000","10,629.000","10,629.000","10,629.000","0.00%"
"Jun 10, 2020","10,629.000","10,629.000","10,629.000","10,629.000","0.00%"
"Jun 09, 2020","10,629.000","10,629.000","10,629.000","10,629.000","0.00%"
"Jun 08, 2020","10,629.000","10,629.000","10,629.000","10,629.000","0.00%"
"Jun 07, 2020","10,629.000","10,629.000","10,629.000","10,629.000","0.00%"
"Jun 05, 2020","10,629.000","10,629.000","10,629.000","10,629.000","0.00%"
"Jun 04, 2020","10,629.000","10,629.000","10,629.000","10,629.000","0.00%"
"Jun 03, 2020","10,629.000","10,629.000","10,629.000","10,629.000","0.00%"
"Jun 02, 2020","10,629.000","10,629.000","10,629.000","10,629.000","0.00%"
"Jun 01, 2020","10,629.000","10,629.000","10,629.000","10,629.000","0.00%"
"May 31, 2020","10,629.000","10,629.000","10,629.000","10,629.000","0.00%"
"May 29, 2020","10,629.000","10,629.000","10,629.000","10,629.000","0.00%"
"May 28, 2020","10,629.000","10,629.000","10,629.000","10,629.000","0.78%"
"May 27, 2020","10,546.494","10,546.494","10,629.000","10,546.494","0.00%"
"May 26, 2020","10,546.494","10,546.494","10,546.494","10,546.494","0.00%"
"May 25, 2020","10,546.494","10,546.494","10,546.494","10,546.494","0.00%"
"May 24, 2020","10,546.494","10,546.494","10,546.494","10,546.494","0.00%"
"May 22, 2020","10,546.494","10,546.494","10,546.494","10,546.494","0.00%"
"May 21, 2020","10,546.494","10,546.494","10,546.494","10,546.494","0.00%"
"May 20, 2020","10,546.494","10,546.494","10,546.494","10,546.494","0.00%"
"May 19, 2020","10,546.494","10,546.494","10,546.494","10,546.494","0.00%"
"May 18, 2020","10,546.494","10,546.494","10,546.494","10,546.494","0.00%"
"May 17, 2020","10,546.494","10,546.494","10,546.494","10,546.494","0.00%"
"May 15, 2020","10,546.494","10,546.494","10,546.494","10,546.494","0.00%"
"May 14, 2020","10,546.494","10,546.494","10,546.494","10,546.494","0.00%"
"May 13, 2020","10,546.494","10,546.494","10,546.494","10,546.494","0.00%"
"May 12, 2020","10,546.494","10,546.494","10,546.494","10,546.494","0.00%"
"May 11, 2020","10,546.494","10,546.494","10,546.494","10,546.494","0.00%"
"May 10, 2020","10,546.494","10,546.494","10,546.494","10,546.494","0.00%"
"May 08, 2020","10,546.494","10,546.494","10,546.494","10,546.494","0.00%"
"May 07, 2020","10,546.494","10,546.494","10,546.494","10,546.494","0.00%"
"May 06, 2020","10,546.494","10,546.494","10,546.494","10,546.494","0.00%"
"May 05, 2020","10,546.494","10,546.494","10,546.494","10,546.494","0.00%"
"May 04, 2020","10,546.494","10,546.494","10,546.494","10,546.494","0.00%"
"May 01, 2020","10,546.494","10,546.494","10,546.494","10,546.494","0.00%"
"Apr 30, 2020","10,546.494","10,546.494","10,546.494","10,546.494","0.00%"
"Apr 29, 2020","10,546.494","10,546.494","10,546.494","10,546.494","0.00%"
"Apr 28, 2020","10,546.494","10,546.494","10,546.494","10,546.494","0.00%"
