"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 22, 2020","84.65","84.00","86.06","82.16","10.73M","0.42%"
"Jul 21, 2020","84.30","88.71","89.50","83.72","15.20M","-3.10%"
"Jul 20, 2020","87.00","82.36","87.16","82.11","10.78M","6.10%"
"Jul 17, 2020","82.00","80.50","82.22","80.48","10.96M","2.27%"
"Jul 16, 2020","80.18","81.10","81.80","79.14","11.12M","-1.62%"
"Jul 15, 2020","81.50","81.30","81.90","80.87","12.70M","1.24%"
"Jul 14, 2020","80.50","80.75","82.35","79.44","14.11M","0.00%"
"Jul 13, 2020","80.50","80.61","82.20","80.21","10.86M","0.40%"
"Jul 10, 2020","80.18","79.29","81.00","78.95","12.93M","0.98%"
"Jul 09, 2020","79.40","77.00","79.58","76.24","11.59M","3.52%"
"Jul 08, 2020","76.70","75.25","76.70","74.82","11.62M","2.65%"
"Jul 07, 2020","74.72","71.90","74.79","71.07","12.36M","3.79%"
"Jul 06, 2020","71.99","72.81","73.18","71.60","8.11M","-0.01%"
"Jul 03, 2020","72.00","70.20","72.05","69.30","7.04M","2.71%"
"Jul 02, 2020","70.10","72.75","73.25","70.10","10.68M","-3.04%"
"Jul 01, 2020","72.30","71.98","72.50","70.90","8.80M","0.91%"
"Jun 30, 2020","71.65","69.83","72.90","69.64","12.79M","1.76%"
"Jun 29, 2020","70.41","70.17","70.41","68.35","8.19M","1.53%"
"Jun 26, 2020","69.35","69.49","70.91","68.65","8.18M","-0.49%"
"Jun 25, 2020","69.69","69.91","70.70","68.74","7.88M","-0.16%"
"Jun 24, 2020","69.80","70.20","71.58","68.20","10.64M","-0.64%"
"Jun 23, 2020","70.25","71.56","72.09","70.25","7.31M","-0.92%"
"Jun 22, 2020","70.90","71.62","72.34","70.19","9.26M","-0.70%"
"Jun 19, 2020","71.40","70.98","71.74","70.42","19.98M","2.44%"
"Jun 18, 2020","69.70","67.18","70.92","65.92","19.41M","3.74%"
"Jun 17, 2020","67.19","66.41","68.66","65.93","19.25M","1.80%"
"Jun 16, 2020","66.00","66.60","67.47","64.60","15.53M","0.23%"
"Jun 15, 2020","65.85","62.84","65.85","62.22","14.60M","2.97%"
"Jun 12, 2020","63.95","62.82","65.00","62.51","17.04M","-1.01%"
