"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 22, 2020","23.74","23.89","24.07","23.56","15.70M","-1.04%"
"Jul 21, 2020","23.99","23.90","24.48","23.82","24.49M","2.09%"
"Jul 20, 2020","23.50","23.64","23.73","23.32","11.81M","-0.63%"
"Jul 17, 2020","23.65","23.70","23.94","23.52","13.64M","0.08%"
"Jul 16, 2020","23.63","23.98","24.09","23.37","12.19M","-2.36%"
"Jul 15, 2020","24.20","23.97","24.20","23.68","12.09M","2.37%"
"Jul 14, 2020","23.64","22.84","23.82","22.54","16.10M","3.46%"
"Jul 13, 2020","22.85","23.17","23.34","22.85","11.03M","-0.65%"
"Jul 10, 2020","23.00","22.78","23.18","22.60","8.16M","1.55%"
"Jul 09, 2020","22.65","23.45","23.54","22.64","11.40M","-2.87%"
"Jul 08, 2020","23.32","23.00","23.45","22.95","11.67M","2.46%"
"Jul 07, 2020","22.76","22.96","23.05","22.75","9.93M","-1.68%"
"Jul 06, 2020","23.15","22.98","23.53","22.86","15.28M","2.89%"
"Jul 03, 2020","22.50","22.55","22.76","22.48","3.10M","-0.62%"
"Jul 02, 2020","22.64","22.74","22.87","22.47","13.32M","1.25%"
"Jul 01, 2020","22.36","22.50","22.98","22.26","17.70M","0.09%"
"Jun 30, 2020","22.34","22.17","22.63","21.85","20.07M","-0.98%"
"Jun 29, 2020","22.56","22.08","22.61","21.94","10.28M","3.11%"
"Jun 26, 2020","21.88","22.10","22.42","21.72","13.93M","-2.19%"
"Jun 25, 2020","22.37","21.84","22.37","21.58","11.89M","2.10%"
"Jun 24, 2020","21.91","22.40","22.43","21.59","10.84M","-2.67%"
"Jun 23, 2020","22.51","22.16","23.07","22.00","13.14M","2.93%"
"Jun 22, 2020","21.87","22.49","22.51","21.81","8.75M","-1.84%"
"Jun 19, 2020","22.28","22.99","23.21","22.14","23.93M","-1.42%"
"Jun 18, 2020","22.60","22.06","22.70","21.94","10.28M","1.57%"
"Jun 17, 2020","22.25","22.32","22.75","22.00","13.64M","0.23%"
