"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 22, 2020","46.39","46.94","47.45","45.91","7.85M","-1.07%"
"Jul 21, 2020","46.89","46.48","47.62","46.23","5.57M","1.47%"
"Jul 20, 2020","46.21","45.95","46.74","45.65","5.56M","0.57%"
"Jul 17, 2020","45.95","44.77","46.34","44.34","6.31M","3.05%"
"Jul 16, 2020","44.59","44.28","44.70","43.80","3.17M","-0.34%"
"Jul 15, 2020","44.74","44.25","45.18","44.01","4.54M","1.91%"
"Jul 14, 2020","43.90","42.10","44.26","41.75","6.45M","4.28%"
"Jul 13, 2020","42.10","43.61","43.95","41.94","4.60M","-3.31%"
"Jul 10, 2020","43.54","42.88","43.89","42.74","3.55M","0.48%"
"Jul 09, 2020","43.33","44.60","44.70","42.86","5.20M","-2.45%"
"Jul 08, 2020","44.42","44.30","45.22","43.82","6.04M","0.93%"
"Jul 07, 2020","44.01","43.37","44.54","43.08","6.95M","1.76%"
"Jul 06, 2020","43.25","43.54","43.76","42.51","5.97M","1.29%"
"Jul 03, 2020","42.70","42.24","42.85","41.83","2.49M","0.73%"
"Jul 02, 2020","42.39","43.23","43.34","41.96","5.02M","0.09%"
"Jul 01, 2020","42.35","40.75","42.82","40.61","7.18M","3.52%"
"Jun 30, 2020","40.91","40.72","41.66","40.42","5.97M","-0.73%"
"Jun 29, 2020","41.21","40.50","41.50","40.22","3.95M","2.39%"
"Jun 26, 2020","40.25","41.23","42.00","40.07","6.45M","-2.90%"
"Jun 25, 2020","41.45","41.33","42.11","40.91","3.98M","1.15%"
"Jun 24, 2020","40.98","41.07","42.46","40.36","5.93M","-1.87%"
"Jun 23, 2020","41.76","41.80","42.29","41.37","4.10M","1.26%"
"Jun 22, 2020","41.24","42.49","42.49","41.10","4.77M","-1.58%"
"Jun 19, 2020","41.90","42.01","42.48","41.40","12.60M","1.67%"
"Jun 18, 2020","41.21","40.52","41.73","40.30","4.23M","0.93%"
"Jun 17, 2020","40.83","39.50","41.83","39.32","9.35M","1.64%"
"Jun 16, 2020","40.17","42.00","42.27","39.93","6.92M","-1.30%"
"Jun 15, 2020","40.70","39.49","41.68","38.57","8.16M","1.02%"
"Jun 12, 2020","40.29","39.51","40.84","38.90","10.88M","-1.97%"
"Jun 10, 2020","41.10","43.49","43.72","40.64","7.16M","-4.20%"
"Jun 09, 2020","42.90","41.97","43.42","40.80","5.17M","-0.69%"
"Jun 08, 2020","43.20","41.11","43.44","40.70","7.95M","5.78%"
"Jun 05, 2020","40.84","41.40","41.97","39.91","11.37M","2.10%"
"Jun 04, 2020","40.00","40.90","40.90","39.10","10.29M","-2.49%"
"Jun 03, 2020","41.02","39.59","41.54","39.06","13.76M","7.24%"
"Jun 02, 2020","38.25","38.10","39.39","37.46","9.65M","1.70%"
"Jun 01, 2020","37.61","38.40","38.95","37.31","9.67M","-2.26%"
"May 29, 2020","38.48","37.31","38.48","35.85","10.09M","3.11%"
"May 28, 2020","37.32","39.18","39.53","37.14","8.75M","-4.55%"
"May 27, 2020","39.10","37.12","39.57","37.12","8.22M","6.02%"
"May 26, 2020","36.88","37.00","38.12","36.13","7.42M","0.49%"
"May 25, 2020","36.70","37.36","38.18","36.45","6.34M","1.41%"
"May 22, 2020","36.19","35.80","36.86","35.14","8.30M","-0.28%"
"May 21, 2020","36.29","35.59","37.75","35.44","11.85M","2.80%"
"May 20, 2020","35.30","35.45","36.36","34.87","10.81M","0.66%"
"May 19, 2020","35.07","33.51","36.05","32.90","16.64M","4.66%"
"May 18, 2020","33.51","31.11","33.91","31.03","13.67M","10.96%"
"May 15, 2020","30.20","28.98","31.00","28.24","24.83M","3.11%"
"May 14, 2020","29.29","27.01","29.29","26.31","13.76M","7.25%"
"May 13, 2020","27.31","27.60","28.28","26.67","9.36M","-0.73%"
"May 12, 2020","27.51","28.45","29.20","27.51","18.59M","-2.10%"
"May 11, 2020","28.10","29.32","29.72","27.85","14.06M","-5.23%"
"May 08, 2020","29.65","30.50","30.82","29.27","8.71M","-0.40%"
"May 07, 2020","29.77","32.86","32.94","29.77","18.88M","-8.40%"
"May 06, 2020","32.50","33.88","34.24","32.30","8.27M","-3.36%"
"May 05, 2020","33.63","34.00","34.92","32.95","6.61M","0.66%"
"May 04, 2020","33.41","33.24","34.05","32.43","6.61M","-2.28%"
"Apr 30, 2020","34.19","35.30","35.73","33.93","7.20M","-5.42%"
"Apr 29, 2020","36.15","35.77","36.46","35.30","9.32M","2.70%"
"Apr 28, 2020","35.20","34.85","35.30","33.02","8.53M","5.07%"
