"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 22, 2020","14.60","15.11","15.35","14.46","312.30K","-3.38%"
"Jul 21, 2020","15.11","14.70","15.28","14.70","119.40K","2.79%"
"Jul 20, 2020","14.70","14.51","14.91","14.51","131.20K","1.31%"
"Jul 17, 2020","14.51","14.32","14.80","14.32","240.30K","1.33%"
"Jul 16, 2020","14.32","14.38","14.53","14.30","83.10K","-1.24%"
"Jul 15, 2020","14.50","14.25","14.60","14.17","202.20K","2.40%"
"Jul 14, 2020","14.16","14.00","14.17","13.77","171.50K","1.43%"
"Jul 13, 2020","13.96","14.31","14.57","13.96","378.10K","-2.17%"
"Jul 10, 2020","14.27","14.39","14.45","14.08","125.70K","0.14%"
"Jul 09, 2020","14.25","14.50","14.67","14.23","139.60K","-2.26%"
"Jul 08, 2020","14.58","14.22","14.59","14.15","174.10K","3.26%"
"Jul 07, 2020","14.12","14.63","14.63","14.10","323.10K","-3.49%"
"Jul 06, 2020","14.63","14.20","14.69","14.20","301.40K","4.20%"
"Jul 03, 2020","14.04","14.30","14.30","13.86","339.30K","-1.34%"
"Jul 02, 2020","14.23","14.36","14.71","14.11","171.30K","0.92%"
"Jul 01, 2020","14.10","14.04","14.35","13.98","162.00K","0.93%"
"Jun 30, 2020","13.97","14.33","14.36","13.87","195.50K","-2.58%"
"Jun 29, 2020","14.34","14.01","14.40","14.01","87.50K","2.36%"
"Jun 26, 2020","14.01","14.53","14.53","13.81","288.40K","-3.65%"
"Jun 25, 2020","14.54","14.28","14.65","14.10","148.20K","1.82%"
"Jun 24, 2020","14.28","15.10","15.15","14.20","477.20K","-5.24%"
"Jun 23, 2020","15.07","15.50","15.68","14.92","174.60K","-1.76%"
"Jun 22, 2020","15.34","15.44","15.66","15.10","110.10K","0.85%"
"Jun 19, 2020","15.21","15.50","15.78","15.10","113.00K","-0.78%"
"Jun 18, 2020","15.33","15.40","15.70","15.11","93.80K","-0.45%"
"Jun 17, 2020","15.40","15.22","15.92","15.00","151.00K","1.32%"
"Jun 16, 2020","15.20","15.01","15.50","15.00","114.40K","3.68%"
"Jun 15, 2020","14.66","14.61","15.00","14.10","151.80K","-2.33%"
"Jun 12, 2020","15.01","14.48","15.10","14.10","253.70K","0.00%"
"Jun 10, 2020","15.01","16.40","16.45","15.01","239.90K","-6.42%"
"Jun 09, 2020","16.04","15.97","16.40","15.75","465.20K","-1.60%"
"Jun 08, 2020","16.30","16.00","16.35","15.85","255.80K","3.82%"
"Jun 05, 2020","15.70","15.70","16.57","15.51","297.60K","2.01%"
"Jun 04, 2020","15.39","14.88","15.39","13.91","257.70K","3.78%"
"Jun 03, 2020","14.83","14.23","14.83","14.04","324.40K","7.46%"
"Jun 02, 2020","13.80","13.31","13.88","13.24","221.80K","4.23%"
"Jun 01, 2020","13.24","12.25","13.24","12.23","340.40K","7.55%"
"May 29, 2020","12.31","12.11","12.39","11.66","317.20K","-1.05%"
"May 28, 2020","12.44","12.50","12.71","12.00","257.30K","0.00%"
"May 27, 2020","12.44","12.49","12.59","12.22","128.20K","2.13%"
"May 26, 2020","12.18","12.72","13.00","12.18","157.20K","-3.49%"
"May 25, 2020","12.62","12.31","12.67","12.19","157.20K","3.87%"
"May 22, 2020","12.15","12.10","12.15","11.77","56.90K","-0.41%"
"May 21, 2020","12.20","11.65","12.20","11.57","168.70K","5.63%"
"May 20, 2020","11.55","11.56","11.78","11.31","109.70K","-0.09%"
"May 19, 2020","11.56","11.79","11.85","11.55","93.50K","-1.95%"
"May 18, 2020","11.79","11.59","11.80","11.26","117.40K","6.03%"
"May 15, 2020","11.12","11.44","11.60","11.12","54.50K","-2.97%"
"May 14, 2020","11.46","10.99","11.47","10.50","136.00K","4.95%"
"May 13, 2020","10.92","11.51","11.60","10.77","236.00K","-3.36%"
"May 12, 2020","11.30","12.04","12.04","11.30","288.90K","-6.07%"
"May 11, 2020","12.03","11.74","12.44","11.60","116.40K","0.67%"
"May 08, 2020","11.95","11.65","12.11","11.50","156.30K","5.69%"
"May 07, 2020","11.31","11.80","12.09","11.29","203.10K","-4.11%"
"May 06, 2020","11.79","12.07","12.07","11.58","158.30K","-1.65%"
"May 05, 2020","11.99","12.45","12.65","11.98","164.00K","-1.54%"
"May 04, 2020","12.18","12.38","12.56","11.78","153.00K","-4.65%"
"Apr 30, 2020","12.77","13.00","13.27","12.72","146.00K","-5.49%"
"Apr 29, 2020","13.51","13.17","13.55","12.82","219.80K","4.12%"
"Apr 28, 2020","12.98","12.47","12.98","12.38","221.30K","9.71%"
"Apr 27, 2020","11.83","11.29","11.97","11.21","123.20K","6.41%"
"Apr 24, 2020","11.12","12.05","12.05","10.74","446.70K","-7.88%"
"Apr 23, 2020","12.07","12.38","12.49","11.94","247.10K","-1.85%"
"Apr 22, 2020","12.30","12.53","12.76","12.28","229.00K","-2.82%"
