"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 31, 2020","116.00","118.45","118.91","116.00","158.81K","-2.11%"
"Aug 28, 2020","118.50","117.90","119.11","117.20","291.52K","1.54%"
"Aug 27, 2020","116.70","117.83","118.34","116.38","90.96K","-0.98%"
"Aug 26, 2020","117.85","119.50","120.50","115.80","296.44K","-1.63%"
"Aug 25, 2020","119.80","118.60","120.94","118.22","225.99K","1.23%"
"Aug 24, 2020","118.35","119.50","119.99","117.74","523.17K","-0.13%"
"Aug 21, 2020","118.50","117.48","118.72","116.52","413.39K","0.66%"
"Aug 20, 2020","117.72","114.00","119.95","113.51","328.94K","1.56%"
"Aug 19, 2020","115.91","117.00","117.49","115.73","284.26K","-0.93%"
"Aug 18, 2020","117.00","114.41","117.20","114.38","405.18K","3.54%"
"Aug 17, 2020","113.00","115.51","116.98","112.00","1.46M","-3.05%"
"Aug 14, 2020","116.55","115.16","116.80","112.41","723.95K","1.44%"
"Aug 13, 2020","114.90","117.41","118.30","114.90","624.86K","-1.20%"
"Aug 12, 2020","116.30","118.80","119.65","115.23","558.63K","-1.85%"
"Aug 11, 2020","118.49","118.22","120.47","118.22","536.81K","0.33%"
"Aug 10, 2020","118.10","118.00","118.61","116.50","257.37K","0.30%"
"Aug 07, 2020","117.75","118.39","119.32","116.20","750.08K","-1.05%"
"Aug 06, 2020","119.00","117.40","120.99","117.25","518.81K","1.45%"
"Aug 05, 2020","117.30","116.18","118.17","116.18","775.38K","1.73%"
"Aug 04, 2020","115.30","117.00","118.44","114.63","971.96K","-1.88%"
"Aug 03, 2020","117.51","119.20","119.33","117.10","562.23K","-0.42%"
"Jul 31, 2020","118.00","121.01","121.81","117.85","574.70K","-2.49%"
"Jul 30, 2020","121.01","118.00","121.01","117.96","310.66K","1.26%"
"Jul 29, 2020","119.50","119.00","120.20","118.70","566.29K","0.72%"
"Jul 28, 2020","118.65","118.00","118.95","116.45","343.40K","0.55%"
"Jul 27, 2020","118.00","118.00","118.91","116.94","689.12K","0.85%"
"Jul 24, 2020","117.00","116.71","117.08","114.24","739.44K","-1.12%"
"Jul 23, 2020","118.33","122.25","122.72","117.68","881.22K","-3.00%"
"Jul 22, 2020","121.99","121.86","122.62","120.17","330.55K","0.11%"
"Jul 21, 2020","121.85","123.69","124.30","120.08","704.10K","-0.45%"
"Jul 20, 2020","122.40","120.21","122.66","120.21","456.75K","1.83%"
"Jul 17, 2020","120.20","118.54","120.51","118.54","896.52K","1.80%"
"Jul 16, 2020","118.08","117.69","118.38","117.01","331.56K","0.02%"
"Jul 15, 2020","118.06","119.40","119.40","117.45","805.54K","1.04%"
"Jul 14, 2020","116.85","116.54","119.35","114.72","654.75K","0.73%"
"Jul 13, 2020","116.00","118.50","119.75","116.00","684.75K","-1.19%"
"Jul 10, 2020","117.40","115.60","117.58","115.31","504.93K","2.05%"
"Jul 09, 2020","115.04","115.40","116.17","114.48","190.22K","-0.15%"
"Jul 08, 2020","115.21","114.00","115.64","114.00","905.86K","1.73%"
"Jul 07, 2020","113.25","114.29","114.76","112.80","274.77K","-1.03%"
"Jul 06, 2020","114.43","113.61","114.57","113.50","547.50K","2.22%"
"Jul 03, 2020","111.94","110.98","111.94","109.68","327.56K","1.41%"
"Jul 02, 2020","110.38","112.20","113.51","110.38","763.44K","-0.12%"
