"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 22, 2020","39.50","40.25","40.80","38.92","9.68M","-2.47%"
"Jul 21, 2020","40.50","40.20","40.60","39.90","7.89M","0.65%"
"Jul 20, 2020","40.24","39.55","40.37","39.35","6.02M","0.98%"
"Jul 17, 2020","39.85","38.75","39.90","38.35","7.24M","2.89%"
"Jul 16, 2020","38.73","38.62","39.09","38.05","7.27M","-0.31%"
"Jul 15, 2020","38.85","37.01","39.24","36.71","15.00M","5.97%"
"Jul 14, 2020","36.66","36.10","37.02","35.71","6.82M","1.66%"
"Jul 13, 2020","36.06","36.76","37.02","36.00","5.33M","-1.69%"
"Jul 10, 2020","36.68","36.47","36.89","36.27","4.75M","0.58%"
"Jul 09, 2020","36.47","36.17","36.80","35.91","5.23M","0.89%"
"Jul 08, 2020","36.15","36.15","36.73","36.15","6.59M","-0.11%"
"Jul 07, 2020","36.19","36.02","37.26","35.90","9.59M","-1.92%"
"Jul 06, 2020","36.90","37.27","37.27","36.75","4.86M","-0.99%"
"Jul 03, 2020","37.27","36.87","37.27","36.42","3.84M","1.22%"
"Jul 02, 2020","36.82","37.20","37.48","36.68","7.77M","-0.86%"
"Jul 01, 2020","37.14","36.79","37.25","36.14","7.51M","0.95%"
"Jun 30, 2020","36.79","37.69","37.94","36.45","9.70M","-2.49%"
"Jun 29, 2020","37.73","37.82","38.16","37.30","4.00M","-0.40%"
"Jun 26, 2020","37.88","38.35","38.76","37.51","5.72M","-0.53%"
"Jun 25, 2020","38.08","38.62","38.80","37.90","4.49M","-1.35%"
"Jun 24, 2020","38.60","38.20","38.80","37.87","4.71M","1.47%"
"Jun 23, 2020","38.04","38.49","39.20","37.82","5.47M","-2.44%"
"Jun 22, 2020","38.99","39.61","39.78","38.53","5.32M","-1.29%"
"Jun 19, 2020","39.50","39.55","40.15","38.90","17.60M","-0.13%"
"Jun 18, 2020","39.55","39.20","39.79","38.65","8.08M","1.67%"
"Jun 17, 2020","38.90","38.40","38.90","38.07","4.63M","2.10%"
"Jun 16, 2020","38.10","38.15","39.09","37.92","7.37M","-1.01%"
"Jun 15, 2020","38.49","36.62","38.87","36.41","13.78M","4.00%"
"Jun 12, 2020","37.01","37.91","38.65","36.20","11.14M","-2.94%"
"Jun 10, 2020","38.13","38.37","38.94","37.91","7.84M","-0.10%"
"Jun 09, 2020","38.17","38.92","39.20","37.94","9.18M","0.03%"
"Jun 08, 2020","38.16","38.15","38.95","37.57","11.07M","-0.37%"
"Jun 05, 2020","38.30","39.24","39.37","38.17","12.95M","-3.89%"
"Jun 04, 2020","39.85","38.20","40.00","37.89","11.89M","4.51%"
"Jun 03, 2020","38.13","38.36","38.45","37.41","9.39M","-0.75%"
"Jun 02, 2020","38.42","38.01","38.69","37.90","7.94M","-0.08%"
"Jun 01, 2020","38.45","38.31","39.00","37.50","8.19M","1.56%"
"May 29, 2020","37.86","38.62","39.06","36.57","14.85M","-1.30%"
"May 28, 2020","38.36","39.35","39.37","38.09","9.15M","-0.13%"
"May 27, 2020","38.41","38.14","39.02","37.39","10.19M","1.40%"
"May 26, 2020","37.88","37.63","38.49","37.02","11.40M","0.48%"
"May 25, 2020","37.70","38.99","39.20","37.50","8.51M","-2.36%"
"May 22, 2020","38.61","38.76","39.87","38.00","8.52M","0.34%"
"May 21, 2020","38.48","40.24","40.41","38.30","12.74M","-4.40%"
"May 20, 2020","40.25","42.19","42.45","39.80","10.53M","-3.62%"
"May 19, 2020","41.76","40.75","42.59","40.38","13.51M","1.41%"
"May 18, 2020","41.18","44.80","45.22","41.18","18.00M","-8.55%"
"May 15, 2020","45.03","46.40","48.84","44.03","19.13M","-5.28%"
"May 14, 2020","47.54","51.00","51.15","46.55","11.96M","-6.03%"
"May 13, 2020","50.59","49.08","51.20","48.67","11.59M","4.20%"
"May 12, 2020","48.55","48.20","49.48","46.61","8.05M","2.00%"
"May 11, 2020","47.60","47.00","49.70","47.00","11.38M","0.53%"
"May 08, 2020","47.35","46.99","48.20","45.46","10.04M","5.20%"
"May 07, 2020","45.01","43.52","47.80","43.00","22.70M","7.50%"
"May 06, 2020","41.87","41.78","42.49","40.62","6.56M","0.65%"
"May 05, 2020","41.60","40.62","41.90","39.63","8.11M","2.72%"
"May 04, 2020","40.50","38.73","40.50","38.39","6.58M","2.77%"
"Apr 30, 2020","39.41","39.10","40.19","38.84","7.57M","1.78%"
"Apr 29, 2020","38.72","38.90","39.35","38.35","6.50M","0.18%"
"Apr 28, 2020","38.65","40.67","40.67","38.25","8.36M","-3.62%"
"Apr 27, 2020","40.10","39.50","40.74","39.16","7.58M","2.48%"
"Apr 24, 2020","39.13","36.80","39.34","35.64","18.56M","7.03%"
"Apr 23, 2020","36.56","35.25","37.21","34.81","8.75M","3.83%"
"Apr 22, 2020","35.21","35.40","36.20","34.90","6.91M","0.83%"
"Apr 20, 2020","34.92","35.32","35.79","34.70","5.95M","-2.57%"
"Apr 17, 2020","35.84","36.74","37.00","35.34","4.41M","-0.94%"
"Apr 16, 2020","36.18","37.50","37.73","35.50","6.86M","-2.82%"
"Apr 15, 2020","37.23","37.60","38.71","36.35","7.93M","-2.03%"
"Apr 14, 2020","38.00","36.73","38.38","36.48","4.54M","4.48%"
"Apr 13, 2020","36.37","35.40","37.00","34.81","6.07M","2.74%"
"Apr 09, 2020","35.40","38.14","38.44","35.20","10.56M","-6.74%"
"Apr 08, 2020","37.96","37.35","38.25","35.25","8.64M","2.07%"
"Apr 07, 2020","37.19","40.91","41.40","36.82","12.09M","-7.07%"
"Apr 06, 2020","40.02","40.63","41.37","39.30","9.34M","0.55%"
"Apr 03, 2020","39.80","40.40","40.84","37.25","14.55M","-0.25%"
"Apr 02, 2020","39.90","38.50","40.43","37.28","14.36M","6.74%"
"Apr 01, 2020","37.38","34.50","37.40","33.97","10.75M","4.44%"
"Mar 31, 2020","35.79","34.92","37.39","34.02","9.81M","5.30%"
"Mar 30, 2020","33.99","34.02","35.99","33.53","10.40M","3.41%"
"Mar 27, 2020","32.87","27.00","34.66","26.87","15.34M","17.18%"
"Mar 26, 2020","28.05","29.89","30.15","27.51","9.92M","-4.43%"
"Mar 25, 2020","29.35","28.62","31.25","28.50","6.25M","1.56%"
"Mar 24, 2020","28.90","30.05","30.46","28.38","7.89M","0.35%"
"Mar 23, 2020","28.80","27.93","29.29","25.24","12.09M","5.15%"
"Mar 20, 2020","27.39","28.20","29.00","25.39","12.19M","0.22%"
