"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 22, 2020","182.05","189.00","194.50","180.50","6.70K","-2.02%"
"Jul 21, 2020","185.80","178.00","187.00","175.00","6.10K","7.40%"
"Jul 20, 2020","173.00","175.00","178.00","173.00","1.20K","0.58%"
"Jul 17, 2020","172.00","176.00","181.00","169.00","2.90K","-1.71%"
"Jul 16, 2020","175.00","160.00","190.99","160.00","13.70K","10.76%"
"Jul 15, 2020","158.00","161.49","161.50","158.00","0.50K","-1.25%"
"Jul 13, 2020","160.00","159.00","160.00","158.00","0.80K","1.27%"
"Jul 10, 2020","158.00","159.00","163.44","158.00","1.00K","-2.47%"
"Jul 09, 2020","162.00","155.00","165.00","155.00","2.00K","2.93%"
"Jul 08, 2020","157.39","155.00","157.40","152.01","1.50K","1.55%"
"Jul 07, 2020","154.99","156.00","156.98","152.50","0.70K","-1.28%"
"Jul 06, 2020","157.00","165.00","165.00","155.00","3.50K","0.32%"
"Jul 03, 2020","156.50","159.00","159.00","156.01","0.50K","-0.64%"
"Jul 02, 2020","157.51","157.99","164.00","157.51","1.40K","0.58%"
"Jul 01, 2020","156.60","156.60","156.60","156.60","0.20K","0.06%"
"Jun 30, 2020","156.50","156.00","164.98","152.00","1.10K","2.96%"
"Jun 29, 2020","152.00","156.00","156.00","150.05","1.20K","-2.56%"
"Jun 26, 2020","156.00","165.00","173.00","155.00","4.40K","-2.56%"
"Jun 25, 2020","160.10","182.01","183.00","149.00","11.30K","-5.83%"
"Jun 24, 2020","170.01","126.88","173.50","126.88","11.90K","36.55%"
"Jun 23, 2020","124.50","120.00","126.00","120.00","3.90K","5.51%"
"Jun 22, 2020","118.00","113.00","118.00","113.00","0.70K","0.43%"
"Jun 19, 2020","117.49","118.00","123.00","109.00","3.90K","-1.27%"
"Jun 18, 2020","119.00","116.00","125.00","116.00","6.00K","10.19%"
"Jun 17, 2020","108.00","103.99","108.00","103.99","1.00K","5.88%"
"Jun 16, 2020","102.00","105.00","108.00","100.00","3.70K","-2.67%"
"Jun 15, 2020","104.80","105.00","115.49","100.00","4.70K","3.87%"
"Jun 12, 2020","100.90","87.00","120.01","87.00","10.90K","15.98%"
"Jun 10, 2020","87.00","86.69","90.50","81.98","2.70K","4.82%"
"Jun 09, 2020","83.00","87.00","87.00","83.00","0.80K","-1.19%"
"Jun 08, 2020","84.00","85.00","85.00","83.80","1.40K","7.71%"
"Jun 05, 2020","77.99","76.00","78.00","75.90","1.40K","9.85%"
"Jun 04, 2020","71.00","71.00","72.00","70.03","0.60K","-3.53%"
"Jun 03, 2020","73.60","78.49","78.49","72.51","0.60K","0.81%"
"Jun 02, 2020","73.01","77.00","78.00","73.01","3.60K","-4.89%"
"May 29, 2020","76.76","71.70","76.76","71.70","0.30K","2.35%"
"May 28, 2020","75.00","77.97","77.97","74.60","0.60K","-1.33%"
"May 27, 2020","76.01","70.00","82.00","70.00","2.30K","8.59%"
"May 25, 2020","70.00","66.01","70.00","66.01","0.50K","6.06%"
"May 19, 2020","66.00","66.00","66.00","66.00","0.10K","0.00%"
"May 18, 2020","66.00","68.25","68.25","66.00","0.30K","4.75%"
"May 15, 2020","63.01","70.00","70.00","63.01","0.70K","-12.40%"
"May 14, 2020","71.93","71.93","71.93","71.93","0.10K","-0.10%"
"May 13, 2020","72.00","70.12","72.00","70.00","0.40K","-2.70%"
"May 11, 2020","74.00","74.00","74.00","74.00","0.10K","-6.33%"
"May 07, 2020","79.00","79.00","79.00","79.00","0.10K","2.60%"
"May 06, 2020","77.00","76.21","77.00","76.21","0.20K","1.04%"
"May 05, 2020","76.21","79.16","79.16","76.21","0.30K","-3.65%"
"May 04, 2020","79.10","79.10","79.10","79.10","0.10K","-3.54%"
"Apr 30, 2020","82.00","83.08","83.08","81.00","0.50K","-6.99%"
"Apr 29, 2020","88.16","88.50","88.50","84.00","0.80K","0.19%"
"Apr 28, 2020","87.99","87.00","87.99","87.00","0.30K","-4.36%"
"Apr 27, 2020","92.00","88.00","92.00","88.00","0.50K","15.00%"
"Apr 24, 2020","80.00","90.00","90.00","80.00","1.40K","-14.16%"
"Apr 23, 2020","93.20","73.00","115.00","73.00","9.90K","27.67%"
"Apr 22, 2020","73.00","73.00","73.00","73.00","0.10K","4.29%"
"Apr 20, 2020","70.00","67.00","70.00","67.00","0.60K","4.48%"
"Apr 17, 2020","67.00","65.00","70.00","65.00","2.40K","4.69%"
"Apr 15, 2020","64.00","64.00","64.00","64.00","0.10K","3.56%"
"Apr 13, 2020","61.80","61.80","61.80","61.80","0.40K","-0.32%"
"Apr 07, 2020","62.00","62.90","66.00","62.00","0.80K","3.33%"
"Apr 06, 2020","60.00","59.00","60.00","59.00","0.20K","9.09%"
"Apr 03, 2020","55.00","60.00","60.00","55.00","0.30K","-12.00%"
"Apr 01, 2020","62.50","62.50","62.50","62.50","0.10K","-0.79%"
"Mar 30, 2020","63.00","63.00","63.00","62.00","1.10K","-7.35%"
"Mar 27, 2020","68.00","60.00","68.00","58.50","1.50K","12.40%"
"Mar 26, 2020","60.50","58.00","63.00","58.00","0.50K","4.31%"
"Mar 25, 2020","58.00","58.00","58.00","58.00","0.10K","5.45%"
"Mar 24, 2020","55.00","55.00","55.00","55.00","0.10K","10.00%"
"Mar 23, 2020","50.00","55.00","55.00","50.00","0.30K","-15.25%"
"Mar 20, 2020","59.00","60.00","60.00","59.00","0.90K","-7.81%"
"Mar 19, 2020","64.00","64.00","64.00","64.00","0.10K","6.67%"
"Mar 18, 2020","60.00","60.00","60.00","60.00","0.20K","-6.25%"
"Mar 16, 2020","64.00","64.00","64.00","64.00","0.10K","-1.54%"
"Mar 13, 2020","65.00","60.00","65.00","60.00","0.30K","6.56%"
"Mar 12, 2020","61.00","61.00","61.00","61.00","0.20K","-27.37%"
"Mar 10, 2020","83.99","80.99","83.99","75.00","0.50K","3.85%"
"Mar 06, 2020","80.88","82.01","82.01","80.88","0.70K","-2.60%"
"Mar 05, 2020","83.04","83.02","83.04","83.00","0.30K","0.05%"
"Mar 04, 2020","83.00","83.00","83.00","83.00","0.10K","0.73%"
"Mar 03, 2020","82.40","82.40","82.40","82.40","0.10K","-3.06%"
"Mar 02, 2020","85.00","85.00","85.00","85.00","0.20K","6.52%"
"Feb 28, 2020","79.80","79.81","79.81","79.80","0.30K","-0.01%"
"Feb 27, 2020","79.81","86.00","86.00","79.81","0.80K","-3.84%"
"Feb 26, 2020","83.00","83.00","83.00","83.00","0.20K","-12.17%"
"Feb 17, 2020","94.50","94.50","94.50","94.50","0.30K","0.00%"
"Feb 14, 2020","94.50","99.79","99.79","94.50","0.40K","-2.58%"
"Feb 12, 2020","97.00","96.99","97.00","96.99","0.20K","0.00%"
"Feb 06, 2020","97.00","96.01","97.00","96.01","0.20K","0.00%"
"Feb 05, 2020","97.00","97.01","97.01","97.00","0.30K","-0.03%"
"Feb 04, 2020","97.03","97.03","97.03","97.03","0.10K","-2.97%"
"Feb 03, 2020","100.00","100.00","100.00","100.00","0.10K","0.10%"
"Jan 31, 2020","99.90","99.90","99.90","99.90","0.10K","5.16%"
"Jan 30, 2020","95.00","97.00","97.00","95.00","0.30K","-3.06%"
"Jan 29, 2020","98.00","99.99","99.99","98.00","0.20K","-3.21%"
"Jan 28, 2020","101.25","104.50","104.50","98.31","0.30K","1.25%"
"Jan 27, 2020","100.00","100.00","100.00","100.00","0.10K","0.69%"
"Jan 24, 2020","99.31","100.00","100.00","99.31","0.20K","-1.67%"
"Jan 23, 2020","101.00","101.99","101.99","99.01","1.30K","-0.98%"
"Jan 22, 2020","102.00","98.01","102.00","96.00","1.10K","5.15%"
"Jan 21, 2020","97.00","101.50","102.00","97.00","1.20K","-5.00%"
"Jan 20, 2020","102.10","114.00","114.00","102.00","2.40K","-11.22%"
"Jan 17, 2020","115.00","100.00","115.00","100.00","1.30K","19.17%"
"Jan 16, 2020","96.50","96.50","96.50","96.50","0.20K","0.00%"
"Jan 15, 2020","96.50","96.02","96.50","96.02","0.20K","0.50%"
"Jan 14, 2020","96.02","96.02","96.02","96.02","1.00K","0.00%"
"Jan 13, 2020","96.02","96.20","96.20","96.02","0.40K","-2.91%"
"Jan 10, 2020","98.90","96.03","98.90","96.03","0.20K","3.00%"
"Jan 09, 2020","96.02","96.02","96.20","96.02","0.30K","0.02%"
"Jan 08, 2020","96.00","95.00","99.00","95.00","0.40K","-3.03%"
"Jan 07, 2020","99.00","95.00","99.00","95.00","0.40K","2.06%"
"Jan 06, 2020","97.00","102.40","102.40","97.00","1.20K","-3.58%"
"Jan 03, 2020","100.60","103.79","104.50","100.60","0.30K","-0.40%"
"Dec 30, 2019","101.00","99.16","103.90","99.16","0.70K","1.92%"
"Dec 27, 2019","99.10","100.00","100.00","99.10","0.20K","-3.83%"
"Dec 23, 2019","103.05","103.05","103.05","103.05","0.10K","0.00%"
"Dec 19, 2019","103.05","102.50","106.50","102.50","1.50K","-3.78%"
"Dec 18, 2019","107.10","101.01","110.99","101.00","1.50K","-5.14%"
"Dec 17, 2019","112.90","114.56","117.50","112.85","3.10K","-1.92%"
"Dec 16, 2019","115.11","117.11","117.11","115.11","0.20K","-0.78%"
"Dec 12, 2019","116.02","117.99","123.30","114.51","2.20K","-1.67%"
"Dec 11, 2019","117.99","117.99","117.99","117.99","0.20K","-2.48%"
"Dec 10, 2019","120.99","114.01","120.99","114.01","0.30K","6.13%"
"Dec 09, 2019","114.00","117.45","117.50","114.00","2.70K","-3.35%"
"Dec 06, 2019","117.95","118.00","118.00","117.90","0.50K","3.42%"
"Dec 05, 2019","114.05","114.74","114.75","114.02","0.70K","0.48%"
"Dec 04, 2019","113.50","114.15","114.15","113.50","0.50K","-0.88%"
"Dec 03, 2019","114.51","116.51","116.51","114.40","0.50K","-3.41%"
"Dec 02, 2019","118.55","130.00","130.00","118.55","2.00K","0.47%"
"Nov 28, 2019","118.00","115.36","118.00","115.36","0.30K","-0.74%"
"Nov 26, 2019","118.88","115.10","118.88","115.10","0.50K","3.28%"
"Nov 25, 2019","115.10","115.61","117.90","115.10","0.40K","0.06%"
"Nov 22, 2019","115.03","114.03","125.00","114.03","0.90K","1.80%"
"Nov 21, 2019","113.00","111.31","113.00","111.01","1.10K","1.80%"
"Nov 19, 2019","111.00","112.50","112.50","111.00","0.30K","-4.56%"
"Nov 18, 2019","116.30","113.00","116.30","113.00","0.20K","2.94%"
"Nov 13, 2019","112.98","112.01","113.00","109.11","1.30K","0.70%"
"Nov 12, 2019","112.20","113.50","113.50","109.00","1.30K","-1.59%"
"Nov 11, 2019","114.01","118.26","118.26","113.00","1.90K","-6.55%"
"Nov 08, 2019","122.00","117.00","122.00","115.00","1.80K","-0.42%"
"Nov 07, 2019","122.51","127.10","127.10","120.00","1.60K","-4.30%"
"Nov 06, 2019","128.02","131.00","132.00","128.02","1.00K","-2.27%"
"Nov 05, 2019","130.99","139.00","145.00","130.99","1.70K","-3.68%"
"Nov 04, 2019","135.99","138.30","138.30","135.99","0.80K","4.61%"
"Nov 01, 2019","130.00","131.53","135.99","128.00","2.00K","2.01%"
"Oct 31, 2019","127.44","132.35","137.25","127.44","1.94K","-6.48%"
"Oct 30, 2019","136.27","151.95","161.76","131.30","11.43K","2.13%"
"Oct 29, 2019","133.43","108.84","137.25","108.84","12.24K","22.62%"
"Oct 28, 2019","108.82","105.88","108.82","105.88","0.71K","1.89%"
"Oct 25, 2019","106.80","105.97","106.86","104.90","1.12K","0.78%"
"Oct 24, 2019","105.97","105.98","106.85","105.97","0.51K","-0.82%"
"Oct 23, 2019","106.85","108.79","108.82","105.88","1.53K","-1.81%"
"Oct 22, 2019","108.82","111.74","111.74","108.34","1.53K","-0.89%"
"Oct 21, 2019","109.80","110.78","110.97","107.84","2.45K","1.67%"
"Oct 18, 2019","108.00","111.26","112.14","108.00","1.30K","-2.71%"
"Oct 17, 2019","111.01","110.01","113.99","108.00","2.50K","2.31%"
"Oct 16, 2019","108.50","117.08","117.08","106.00","7.80K","13.01%"
"Oct 15, 2019","96.01","100.40","100.40","96.01","3.50K","-6.79%"
"Oct 14, 2019","103.00","105.98","105.98","98.01","2.10K","-7.21%"
"Oct 11, 2019","111.00","117.00","118.00","106.00","4.40K","6.63%"
"Oct 10, 2019","104.10","84.96","117.99","84.96","7.60K","22.53%"
"Oct 09, 2019","84.96","92.48","92.48","79.00","2.80K","-8.15%"
"Oct 08, 2019","92.50","99.99","100.00","92.50","2.20K","-11.06%"
"Oct 07, 2019","104.00","109.98","109.98","104.00","0.80K","-5.45%"
"Oct 04, 2019","110.00","110.16","110.16","110.00","1.20K","0.46%"
"Oct 03, 2019","109.50","113.00","113.00","109.50","0.60K","-3.77%"
"Oct 02, 2019","113.79","112.51","113.79","107.01","1.70K","-0.18%"
"Oct 01, 2019","114.00","114.11","125.49","112.02","4.60K","0.00%"
"Sep 30, 2019","114.00","119.50","122.00","112.50","2.30K","-6.56%"
"Sep 27, 2019","122.00","131.00","131.00","110.01","12.30K","-6.87%"
