"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 22, 2020","8.15","8.06","8.20","8.00","164.90K","1.62%"
"Jul 21, 2020","8.02","8.12","8.17","7.96","124.40K","-0.37%"
"Jul 20, 2020","8.05","8.10","8.15","8.00","109.10K","-0.25%"
"Jul 17, 2020","8.07","8.07","8.14","8.04","72.40K","0.12%"
"Jul 16, 2020","8.06","8.20","8.20","8.02","128.00K","-1.83%"
"Jul 15, 2020","8.21","8.30","8.30","8.07","105.30K","0.61%"
"Jul 14, 2020","8.16","8.14","8.21","7.97","125.80K","0.87%"
"Jul 13, 2020","8.09","8.15","8.34","8.05","286.10K","-0.49%"
"Jul 10, 2020","8.13","8.18","8.18","7.94","146.50K","-0.12%"
"Jul 09, 2020","8.14","8.37","8.37","8.07","151.50K","-0.85%"
"Jul 08, 2020","8.21","8.20","8.37","8.14","303.00K","1.48%"
"Jul 07, 2020","8.09","8.25","8.25","8.05","131.90K","-2.06%"
"Jul 06, 2020","8.26","8.10","8.43","8.10","419.20K","2.86%"
"Jul 03, 2020","8.03","7.92","8.13","7.68","96.70K","0.63%"
"Jul 02, 2020","7.98","8.08","8.25","7.96","137.20K","0.25%"
"Jul 01, 2020","7.96","8.04","8.05","7.83","147.80K","-1.61%"
"Jun 30, 2020","8.09","7.70","8.18","7.59","516.80K","5.34%"
"Jun 29, 2020","7.68","7.66","7.89","7.57","809.40K","0.13%"
"Jun 26, 2020","7.67","7.93","8.00","7.60","215.00K","-3.28%"
"Jun 25, 2020","7.93","7.96","8.11","7.75","183.40K","-0.38%"
"Jun 24, 2020","7.96","8.31","8.31","7.82","267.00K","-4.21%"
"Jun 23, 2020","8.31","7.68","8.34","7.60","758.40K","10.65%"
"Jun 22, 2020","7.51","7.81","7.85","7.50","135.70K","-3.72%"
"Jun 19, 2020","7.80","7.80","7.88","7.55","281.80K","4.28%"
"Jun 18, 2020","7.48","7.38","7.56","7.31","137.90K","0.94%"
"Jun 17, 2020","7.41","7.36","7.54","7.21","202.60K","1.79%"
"Jun 16, 2020","7.28","7.50","7.55","7.28","236.60K","1.25%"
"Jun 15, 2020","7.19","7.26","7.26","6.85","341.90K","-0.96%"
"Jun 12, 2020","7.26","7.45","7.56","7.16","360.80K","-6.20%"
"Jun 10, 2020","7.74","7.99","8.06","7.56","319.70K","-2.64%"
"Jun 09, 2020","7.95","8.08","8.08","7.78","327.20K","-1.61%"
"Jun 08, 2020","8.08","7.86","8.09","7.84","528.30K","4.80%"
"Jun 05, 2020","7.71","7.75","8.20","7.71","467.40K","-0.39%"
"Jun 04, 2020","7.74","7.69","7.85","7.24","525.50K","0.65%"
"Jun 03, 2020","7.69","7.70","8.38","7.56","774.10K","2.40%"
"Jun 02, 2020","7.51","6.86","7.51","6.86","804.80K","11.26%"
"Jun 01, 2020","6.75","6.68","6.87","6.68","492.40K","2.43%"
"May 29, 2020","6.59","6.43","6.73","6.27","1.05M","4.27%"
"May 28, 2020","6.32","6.00","6.54","5.85","1.27M","6.76%"
"May 27, 2020","5.92","5.33","6.09","5.29","963.00K","12.12%"
"May 26, 2020","5.28","5.28","5.40","5.19","372.70K","0.38%"
"May 25, 2020","5.26","5.33","5.37","5.24","218.00K","2.14%"
"May 22, 2020","5.15","5.28","5.28","5.10","156.60K","-4.10%"
"May 21, 2020","5.37","5.43","5.56","5.20","246.50K","-0.74%"
"May 20, 2020","5.41","5.45","5.46","5.30","245.50K","0.19%"
"May 19, 2020","5.40","5.34","5.50","5.27","144.60K","2.47%"
"May 18, 2020","5.27","5.25","5.32","5.09","245.90K","4.56%"
"May 15, 2020","5.04","5.17","5.17","4.94","125.40K","-1.18%"
