"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 22, 2020","21.29","21.11","21.47","20.77","92.60M","3.25%"
"Jul 21, 2020","20.62","21.80","22.36","19.81","170.69M","-2.60%"
"Jul 20, 2020","21.17","19.94","21.28","19.90","114.52M","7.35%"
"Jul 17, 2020","19.72","19.41","19.96","19.26","89.75M","3.79%"
"Jul 16, 2020","19.00","18.29","19.00","18.29","61.88M","2.98%"
"Jul 15, 2020","18.45","18.24","18.53","17.93","67.02M","3.94%"
"Jul 14, 2020","17.75","17.82","18.54","17.57","106.90M","0.57%"
"Jul 13, 2020","17.65","17.89","19.05","17.51","122.79M","0.17%"
"Jul 10, 2020","17.62","17.65","18.06","17.50","70.48M","0.40%"
"Jul 09, 2020","17.55","16.50","17.67","16.35","111.55M","7.21%"
"Jul 08, 2020","16.37","16.22","16.56","16.15","69.72M","3.22%"
"Jul 07, 2020","15.86","15.83","16.04","15.62","46.75M","-0.63%"
"Jul 06, 2020","15.96","16.00","16.10","15.72","44.12M","2.64%"
"Jul 03, 2020","15.55","15.42","15.71","15.11","52.18M","1.04%"
"Jul 02, 2020","15.39","16.25","16.80","15.28","126.07M","-3.75%"
"Jul 01, 2020","15.99","15.65","16.05","15.40","79.79M","4.44%"
"Jun 30, 2020","15.31","15.30","15.88","15.17","80.17M","-0.46%"
"Jun 29, 2020","15.38","14.41","15.45","13.99","113.68M","7.63%"
"Jun 26, 2020","14.29","14.50","14.78","14.06","61.27M","-1.79%"
"Jun 25, 2020","14.55","14.70","14.82","14.26","57.45M","-0.21%"
"Jun 24, 2020","14.58","14.90","15.07","13.96","73.77M","-2.99%"
"Jun 23, 2020","15.03","15.10","15.24","14.81","47.15M","0.87%"
"Jun 22, 2020","14.90","15.35","15.42","14.76","52.17M","-1.84%"
"Jun 19, 2020","15.18","15.60","15.72","15.07","92.53M","0.33%"
"Jun 18, 2020","15.13","14.98","15.73","14.94","81.92M","-0.07%"
"Jun 17, 2020","15.14","15.20","15.55","14.42","147.67M","-0.07%"
"Jun 16, 2020","15.15","16.59","16.66","15.13","138.73M","-3.01%"
"Jun 15, 2020","15.62","14.36","15.79","14.20","115.13M","6.69%"
"Jun 12, 2020","14.64","14.65","15.15","14.55","85.76M","-2.07%"
"Jun 10, 2020","14.95","15.27","15.72","14.83","91.88M","-0.13%"
"Jun 09, 2020","14.97","15.11","15.44","14.85","71.84M","-3.42%"
"Jun 08, 2020","15.50","15.30","15.53","14.93","83.12M","4.38%"
"Jun 05, 2020","14.85","14.75","15.19","14.35","122.66M","6.45%"
"Jun 04, 2020","13.95","13.00","14.04","12.75","123.98M","3.49%"
"Jun 03, 2020","13.48","13.81","13.89","12.85","135.75M","1.51%"
"Jun 02, 2020","13.28","13.87","14.24","13.05","125.11M","-1.12%"
"Jun 01, 2020","13.43","12.31","13.62","12.24","118.19M","8.31%"
"May 29, 2020","12.40","12.45","12.70","11.87","99.96M","-1.43%"
"May 28, 2020","12.58","12.31","12.90","12.12","126.78M","3.28%"
"May 27, 2020","12.18","11.90","12.32","11.64","110.99M","5.27%"
"May 26, 2020","11.57","11.97","12.41","11.46","149.68M","3.21%"
"May 25, 2020","11.21","10.09","11.29","10.06","158.80M","15.57%"
"May 22, 2020","9.70","9.37","9.85","9.26","98.53M","2.21%"
"May 21, 2020","9.49","9.20","9.58","9.15","74.93M","3.60%"
"May 20, 2020","9.16","9.37","9.49","9.05","79.35M","-1.40%"
"May 19, 2020","9.29","8.96","9.63","8.88","133.39M","4.74%"
